Company,Table,Machine_1,Machine_2,Machine_3
OTT Hydromet GmbH,Aktiva,129320,170105,
Yokogawa Deutschland GmbH,Vermögenslage Die Bilanzsumme ist im Geschäftsjahr von 26.857 TEUR auf 33.672 TEUR gestiegen. Das Ak,92088,67605,
Honeywell Messtechnik GmbH,AKTIVA,66154,73549,
ATLAS Material Testing Technology GmbH,Aktiva,323137,218112,
GEFA Processtechnik GmbH,Aktiva,531729,467129,
Metallux AG,Aktiva,206642,203672,
Fluke Deutschland GmbH,Aktiva,170201,178641,
Power Plus Communications AG,Aktiva,238510,169099,
ARGO-HYTOS GMBH,Aktiva,1574407,1714935,
comemso GmbH,Aktiva,320568,317423,
Xylem Analytics Germany,Aktiva,2758785,2362643,
Störk-Tronic Störk GmbH & Co. KG,Aktiva,157669,193666,
ASCO Numatics GmbH,Aktiva,219790,255552,
S + S Regeltechnik GmbH,Die Streuung unserer Kunden ist sehr groß und bezieht sich auf verschiedene Branchen. S+S hat eine g,83164,120996,
Smith Meter GmbH,AKTIVA,226484,294278,
TEWE Elektronic GmbH,Aktiva,1,,
Blum-Novotest GmbH,AKTIVA,966675,968646,
STEINEL Vertrieb GmbH,AKTIVA,46829,59770,
FLEXIM Flexible,Aktiva,520519,498899,
Control Mechatronics GmbH,Control Mechatronics GmbH Nidderau – Lörrach - Ravensburg für das Geschäftsjahr 2021 I. Geschäft und,108993,11024,
Bieler + Lang GmbH,Aktiva,488991,569742,
ETO SENSORIC GmbH,Aktiva,1993156,1838451,
SensoPart Industriesensorik GmbH,Aktiva,698585,758958,
EPHY-MESS Gesellschaft für,Aktiva,278730,38075,
KoCoS Messtechnik AG,Vorgänge von besonderer Bedeutung nach dem Schluss des Geschäftsjahres sind nicht eingetreten.,63840,94328,
Knick Elektronische Messgeräte,AKTIVA,767630,916,
NUMERIK JENA GmbH,AKTIVA,6222738,7609201,
Kobold Messring GmbH,AKTIVA,844377,773,
CAPTRON Electronic GmbH,Aktiva,449258,378665,
Dr. E. Horn GmbH & Co. KG,6. Nachtragsbericht,1087079,,
RHEINTACHO Messtechnik GmbH,AKTIVA,616093,694,
STÜBBE GmbH & Co. KG,I. Grundlagen und Geschäftsmodell des Unternehmens Die STÜBBE-Gruppe ist eine international agierend,2056476,1729732,
Sipos Aktorik GmbH,AKTIVA,26346,30204,
SED Flow Control GmbH,AKTIVA,1116089,1251092,
MHA ZENTGRAF GmbH & Co. KG,Aktiva,729354,735094,
IL - Metronic Sensortechnik GmbH,Aktiva,231755,239216,
Hydrotechnik GmbH,Aktiva,894000,458752,
KBR Kompensationsanlagenbau GmbH,AKTIVSEITE,137838,231,
RECKMANN GMBH,AKTIVA,2108761,2048392,
Carl Zeiss Optotechnik GmbH,Aktiva,305826,355869,
BERTHOLD TECHNOLOGIES GmbH & Co. KG,AKTIVSEITE:,836284,728,
Karl Küfner GmbH & Co. KG,AKTIVA,2845614,3689471,
Thermokon-Sensortechnik GmbH,Aufgrund der Offenlegung der Bilanz nur in der für kleine Kapitalgesellschaften vorgeschriebenen For,1515577,1580275,
Union Instruments GmbH,Aktiva,8206,11161,
DESIGNA Verkehrsleittechnik GmbH,AKTIVA,232240,242900,
deister electronic GmbH,Aktiva,173200,165977,
ifm syntron gmbh Automatisierung,Aktiva,744210,680940,
Deublin GmbH,Aktiva,3267543,2895282,
MRS Electronic GmbH & Co. KG,Unknown Table,73091,91699,
iNOEX GmbH Innovationen und,AKTIVA,265852,15832,
Renishaw GmbH,Aktiva,2477153,1814,
Inficon GmbH,Aktiva,308836,425566,
TIRA GmbH,AKTIVA,615659,859391,
LABOM Meß- und Regeltechnik,AKTIVA,2737333,2836,
Lenord Bauer & Co. GmbH,Aktiva,447771,751702,
Lorenz Messtechnik GmbH,Aktiva,107028,122406,
GHM Messtechnik GmbH,Aktivseite,201704,244666,
MARCO Systemanalyse und,AKTIVSEITE,2695537,2263946,
AVL DiTEST GmbH,AKTIVA,1056988,1019627,
W. Bälz & Sohn GmbH & Co.,Aktiva,78399,76346,
Wenglor sensoric,Aktiva,1616413,1934906,
Ingun Prüfmittelbau GmbH,AKTIVA,4105150,4003424,
HELIOS-PREISSER GmbH,AKTIVA,990298,919939,
Bühler Alzenau GmbH,Aktiva,1510305,1153,
Beck Sensortechnik GmbH,Aktiva,831952,725603,
Landis + Gyr GmbH,Aktiva,1367428,1675785,
FMB-Blickle GmbH,Aktiva,112468,1036,
primion Technology GmbH,Aktiva,48115,67186,
