Company,Table,Machine_1,Machine_2,Machine_3
Newport-Spectra Physics GmbH,Aktiva,539736,555593,
Faiveley Transport Leipzig GmbH & Co. KG,Aktiva,4788714,4988,
STOBAG Alufinish GmbH,Aktiva,5076269,5272915,
INOX-COLOR GmbH,Aktiva,697895,1093636,
Goodrich Aerospace Europe GmbH,Aktiva,3172159,3557035,
E. Krieg GmbH,Aktiva,395022,509221,
Meuselwitz Guß Eisengießerei GmbH,AKTIVA,3314291,4075,
Daiwa Germany GmbH,Aktiva,13725,,
H.E.S.,AKTIVA,58789526,64277,
PBS Pulverbeschichtung Schreiner,Aktiva,2342488,2465740,
Sanitärtechnik Eisenberg GmbH,Aktiva,3318590,3610130,
Börner Kunststoff-,Unknown Table,194859,188053,
Safran Nacelles GmbH,AKTIVA,1993891,1124921,
Thermopor Glas GmbH,AKTIVA,1819890,2116388,
Dekor-Kunststoffe GmbH,Aktiva,634831,810736,
Schrauben-Jäger AG,Unknown Table,1,,
VIA Oberflächentechnik GmbH,Aktiva,1921038,2231791,
Brakeler Thermo Glas GmbH,Aktiva,2211154,1423231,
caleoglas Ost GmbH,Aktiva,2531656,3007963,
HD Wahl GmbH,Aktiva,2436146,2861417,
Carl Baguhn GmbH & Co. KG,Aktiva,275156,332150,
Stronghold Germany GmbH,Aktiva,341417,435653,
Southwall Europe GmbH,Aktiva,2622670,565826,
GOFA Gocher Fahrzeugbau GmbH,Aktiva,408956,313000,
ERO GmbH,AKTIVA,1339712,744,
Zeschky Galvanik GmbH & Co. KG,Unknown Table,1858471,947667,
LWL-Sachsenkabel GmbH,Aktiva,523,888,
schäfer-technic gmbH,Aktiva,210180,239212,
Standard Aggregatebau Evers GmbH & Co. KG,AKTIVA,252844,297798,
TIGGES GmbH & Co. KG,5. Unbeschränkt haftender Gesellschafter,1436042,1979110,
Kandziora Metallbearbeitung GmbH,AKTIVA,1221127,1387938,
Gutehoffnungshütte Radsatz GmbH,Aktiva,3175415,1889389,
GESIPA Blindniettechnik GmbH,Unknown Table,9943,9411,
ZAGRO Bahn- und Baumaschinen GmbH,Aktiva,4455997,4085875,
DAF Trucks Deutschland GmbH,Aktiva,97356,112569,
Pieper Oberflächentechnik Hermsdorf GmbH,Aktiva,214763,197413,
