Company,Table,Machine_1,Machine_2,Machine_3
Eisenwerk Arnstadt GmbH,AKTIVA,1444935,1775,
Stahlhammer Bommern GmbH,Aktiva,2186937,3054967,
Rolf Koerner GmbH,Aktiva,309580,301238,
KRS - SEIGERT GmbH,Aktiva,5462514,6340526,
Mittelrheinische Metallgiesserei,Aktiva,510366,398338,
Brück GmbH,AKTIVA,2099405,10971645,
TPS-Technitube Roehrenwerke GmbH,AKTIVA,2171011,2961471,
SHB Stahl- und Hartgusswerk Boesdorf GmbH,AKTIVA,2840489,3238,
Feinblech Systeme GmbH,Aktiva,434838,569737,
Warmpresswerk Max B. Schachmann GmbH,AKTIVA:,2144867,2340,
PROGRESSIO Feinblechtechnik GmbH,Unknown Table,204076,,
Reinhold Mendritzki Kaltwalzwerk GmbH,Aktiva,14537779,18132881,
Gebhardt - Stahl - GmbH,Aktiva,1558320,,
Bender-Ferndorf Rohr GmbH,Aktivseite,2414389,3037348,
Sachsen Guss GmbH,AKTIVSEITE,17250521,14286717,
Drahtwerk St. Ingbert GmbH,Die durchschnittliche Anzahl der Mitarbeiter betrug:,13004,13771,
WICKEDER PROFILE WALZWERK GmbH,Aktiva,1536834,1280625,
Kemptener Eisengiesserei Adam Hoenig AG,Aktiva,863460,674395,
Ernst Strassacker GmbH & Co. KG,AKTIVA,650365,798,
ChromStahl Stahl- und Metallhandel GmbH,Aktiva,299164,271117,
PAVOY GmbH Paul van Oyen Fabrik fuer,für das Geschäftsjahr vom 01. Januar bis 31. Dezember 2017 der PAVOY GMBH Paul van Oyen Fabrik für L,1129468,1235352,
Rudolf Flender Rohr GmbH,Aktiva,1490396,1781118,
"Stahl- und Drahtwerk Roeslau,",AKTIVA,1398720,1565437,
Wickeder Westfalenstahl GmbH,AKTIVSEITE,4766737,5662257,
Richard Stenzhorn GmbH,Aktiva,2386271,1648074,
Geisselmann GmbH,AKTIVA,126373,139,
WW-K Warmwalzwerk Koenigswinter GmbH,AKTIVA,2020220,1264341,
Hammerwerk Erft,Aktiva,3459472,3872394,
Butting Koennern GmbH,Aktiva,3197178,4071266,
Albert Hoffmann GmbH,AKTIVA,3078881,2978463,
Saarschmiede GmbH Freiformschmiede,"Völklingen, den 8. April 2021",24901,30494,
KrampeHarex GmbH & Co. KG,Aktiva,3276257,3750472,
Mueller Feinblechbautechnik GmbH,Aktiva,2454314,2119788,
Roehrenwerk Kupferdreh Carl Hamm GmbH,Unknown Table,901102,904507,
Wilhelm Schwarz & Co. Bewehrungstechnik,Aktiva,1785280,2091350,
GeisslerWista GmbH,Aktiva,4395829,4996530,
Lebronze Alloys Germany GmbH,AKTIVA,4730767,3751296,
Schindler Handhabetechnik GmbH,Aktiva,161476,212036,
Sirch Behaeltertechnik GmbH,Aktiva,357982,384023,
Suedstahl GmbH & Co. KG,Aktiva,1812906,1992465,
Gebr. Grieshaber GmbH,AKTIVA,740829,833439,
Woehrle GmbH & Co. KG,Aktiva,3105233,2047,
Stahlkontor GmbH & Co KG,Aktiva,985402,1215603,
Hagener Feinstahl GmbH,AKTIVA,1632769,2172448,
G. Schuerfeld GmbH,Aktiva,2710966,1936783,
Mannstaedt GmbH,Aktiva,33555002,37570526,
P.G.S. Plettenberger Gesenkschmiede GmbH,Aktiva,4168724,4638598,
Gabarró Deutschland GmbH,Aktiva,4426121,5325509,
von Schaewen GmbH,AKTIVA,2544249,3104768,
Doerrenberg Edelstahl GmbH,AKTIVA,7391758,8503088,
KOeBO GmbH & Co. KG,AKTIVA,80417,105426,
Vulcast Germany GmbH,AKTIVA,1007706,1257355,
BRUGG Rohrsysteme GmbH,Aktiva,3691102,4383198,
HMS Maass GmbH & Co. KG,Aktiva,524678,607324,
Hammerwerke Haspe,AKTIVA,899778,816222,
Heidenreich & Harbeck GmbH,Aktiva,2843157,3120763,
NEDRI Industriedraht GmbH,AKTIVA,399130,,
BKB-Profiltechnik GmbH,AKTIVA,102639,69,
Bartz-Werke GmbH,Zur Analyse der Ertragslage der Gesellschaft wurden die folgenden Rentabilitätskennzahlen und Aufwan,2990677,3314,
Dossmann GmbH,Aktiva,2678708,2731024,
Chr. Hoever & Sohn GmbH & Co. KG,Aktiva,857748,1251788,
Auerhammer Metallwerk GmbH,AKTIVSEITE,4029804,3528405,
BOS GmbH,Aktiva,971394,1361650,
Kimmel GmbH & Co. KG,Aktiva,1473311,1976084,
Huesecken Wire GmbH,Aktiva,1323792,1381988,
PPM-Aberle GmbH & Co KG,Aktiva,3568692,2301163,
Gontermann-Peipers GmbH,AKTIVA,6641545,8355,
Adolf Foehl GmbH + Co. KG,AKTIVA,2070607,1604,
Eisenbau Kraemer GmbH,AKTIVA,11086761,12535231,
Flanschenwerk Bebitz GmbH,Aktiva,308452,683794,
Filigran Traegersysteme GmbH & Co. KG,AKTIVA,3057633,3317,
Franken-Apparatebau GmbH,AKTIVA,1239682,1431136,
SUeD-Metall Beschlaege GmbH,Aktiva,179087,226949,
Husemann & Huecking Profile GmbH,Das Betriebsergebnis hat sich auf Grund des Rohergebniszuwachses trotz höherer Wareneinsatzquote bei,483653,552923,
Mack Alu-Systeme GmbH,Aktiva,1807212,1972557,
INMET Stahl GmbH & Co. KG,AKTIVA,4940329,5956827,
MetallArt GmbH,Aktiva,1177625,939673,
voestalpine Wire Germany GmbH,AKTIVA,3791672,4014750,
SCHORISCH Magis GmbH,Aktiva,692693,767091,
Hermann Klincke J. H. Sohn GmbH & Co. KG,AKTIVA,201155,128860,
Boedenpresswerk Daaden GmbH,Aktiva,3044919,3199113,
IBF Industrielle Blechfertigung GmbH,Aktiva,1820205,2077425,
PHILIPP GmbH,AKTIVA,333860,428525,
ESTA-Rohr-Gesellschaft mbH,AKTIVSEITE,1682063,1823266,
Nosta GmbH,Aktiva,1759093,1603210,
vR production (DUKTUS) gmbh,AKTIVA,9039202,10233,
Lintorfer Eisengiesserei GmbH,AKTIVA,2464283,2734,
Saar-Hartmetall und Werkzeuge GmbH,Aktiva,460649,466528,
Pleissner Guss GmbH,Aktiva,374317,487801,
