Company,Table,Machine_1,Machine_2,Machine_3
XENTRYS Leuna GmbH,Aktiva,20947384,26622,
Gruschwitz Textilwerke AG,Unknown Table,1379545,1681631,
SETEX-Textil-GmbH,Aktiva,4227387,5100831,
J.G. KNOPF'S SOHN GmbH & Co. KG,AKTIVA,3566526,4364061,
Gerhard van Clewe GmbH & Co KG,Aktiva,3207806,3904837,
Filzfabrik Wurzen GmbH,AKTIVA,971712,450344,
Schleswiger Tauwerkfabrik,Aktiva,862611,1240611,
Intercord Thüringen GmbH,Aktiva,1284538,926855,
Heinrich Glaeser Nachf. GmbH,Unknown Table,1179056,1429251,
Wagenfelder Spinnereien GmbH,AKTIVSEITE,13289,72756,
BNP Brinkmann GmbH & Co. KG,AKTIVA,3275473,3446512,
Zwickauer Kammgarn GmbH,Aktiva,1193894,1270073,
Stickerei Müller GmbH & Co. KG,Unknown Table,18,,
Ploucquet GmbH,Aktiva,963543,1198268,
Märkische Faser GmbH,AKTIVSEITE,2618468,150,
Schwarzwälder Textil-Werke,Aktiva,3258029,2678821,
PONGS GROUP GmbH & Co. KG,AKTIVA,4479643,133201,
Richter Färberei- und Ausrüstungs GmbH,Aktiva,1578489,1285718,
Sturm Handelsgesellschaft mbH,Aktiva,47537,54071,
Wilhelm Kneitz AG Textilwerke,Aktiva,1467391,1818839,
Gebr. Otto Baumwollfeinzwirnerei GmbH,Aktiva,1775912,1625447,
Gebr. Röders AG,AKTIVA,2543579,2094944,
TEXTUM GmbH,AKTIVA,25992,35341,
Fibertex Personal Care AG,Aktiva,5753340,5832786,
Getzner Textil Weberei GmbH,Aktiva,16471237,20020596,
GKD - Gebr. Kufferath AG.,AKTIVA,13584577,11440882,
Junkers & Müllers GmbH,Aktiva,8045102,9200698,
Hemmers/Itex Textil Import Export GmbH,Aktiva,149351,169768,
Filament-Technik Gesellschaft,Aktiva,640402,668321,
NOON GmbH,Aktiva,1942768,2112881,
Huesker Synthetic GmbH,AKTIVA,2964917,3506526,
TWE Vliesstoffwerke GmbH & Co. KG,Aktiva,1302626,863680,
Lindenfarb Textilveredlung,AKTIVA,1521276,1708721,
The FilamentFactory GmbH,Aktiva,2790449,2651448,
YKK Stocko Fasteners GmbH,Aktiva,6176518,6796367,
Penn Textile Solutions GmbH,Aktiva,1863188,505416,
Delcotex Delius Techtex GmbH & Co. KG,Aktiva,1269015,1260053,
Polyvlies Franz Beyer GmbH,AKTIVA,10164971,12599570,
Amann & Söhne GmbH & Co. KG,Aktiva,2776976,2764329,
Silent Gliss Fabrics & Components GmbH,Aktiva,104795,113660,
Schneiderfilz Schneider Gmbh & Co. KG,AKTIVA,1250459,1510,
