Company,Table,Machine_1,Machine_2,Machine_3
Porzellanfabrik Hermsdorf GmbH,AKTIVA,2702538,3303484,
VGT-DYKO GmbH,Aktiva,1913526,2063133,
HAGENBURGER Feuerfeste Produkte GmbH,AKTIVA,278859,350153,
Sigmund Lindner GmbH,Aktiva,2389347,2342274,
CERA SYSTEM Verschleißschutz GmbH,"Die Geschäftsführung schlägt vor, von dem Bilanzgewinn zum 31. Dezember 2021 in Höhe von EUR 8.422.8",1555475,1888534,
Elektrokeramik Sonneberg GmbH,Aktiva,1666735,3645,
Morgan Molten Metal Systems GmbH,Aktiva,2582260,3132632,
IMERYS ZSCHORNEWITZ GmbH,Aktiva,3163835,1124,
Dörentrup Feuerfestprodukte,Aktiva,1586506,1515086,
Refratechnik Ceramics GmbH,Aktiva,1436434,1668858,
Morgan Advanced Materials,Aktiva,5211855,3697541,
Minteq International GmbH,Aktiva,1268324,1132197,
