Company,Table,Machine_1,Machine_2,Machine_3
DARPDECADE GmbH & Co. KG,Unknown Table,113116,59500,
Versace Deutschland GmbH,Aktiva,172218,193042,
A & R Textilproduktion GmbH,Aktiva,889159,627745,
Schümer Textil GmbH,AKTIVA,390447,339073,
Landes Lederwarenfabrik GmbH,AKTIVA,263922,341916,
Dr. Günther Kast GmbH & Co. Technische,Aktiva,1278366,832612,
SÜDLEDER GmbH & Co. KG,"Im Geschäftsjahr 2021 wurden Investitionen im Gesamtwert von 2,4 Mio. EUR durchgeführt, die sich wie",1,,
pro4tex GmbH,Aktiva,8082047,8816672,
Klaus Herding GmbH,Aktiva,306654,305360,
TERRAX Außenhandels-GmbH,AKTIVA,1,1,
L-SHOP-TEAM GmbH,Aktiva,2069548,2408781,
7days jobwear GmbH,AKTIVA,7379,12652,
Stehmann Mode GmbH,Aktiva,4213,5967,
Albani Group GmbH & Co. KG,AKTIVA,322524,35,
Lana Grossa Mode mit Wolle,Aktiva,28434,35100,
Heinecke & Klaproth GmbH & Co. KG,Aktiva,2615,15185,
SAATI Deutschland GmbH,Aktiva,2281213,2464896,
WEITBLICK GmbH & Co. KG,Zusatzangaben i. S. d. § 327 HGB,554639,696422,
Paul H. Kübler Bekleidungswerk,Aktiva,707084,233644,
Mattes & Ammann GmbH & Co. KG,AKTIVA,3689450,894115,
GREIFF-Mode GmbH & Co. KG,Aktivseite,183256,192,
Rofa Bekleidungswerk GmbH & Co KG,Auf der Aktivseite ist die Bilanzsummenminderung im Wesentlichen auf den Abbau der Vorräte und der F,341627,,
Rabe Moden GmbH,Aktiva,63784,54053,
Godske Group GmbH,Aktiva,18563,15377,
SML (Central Europe) GmbH,Gliederung,186486,209093,
Stooker Brands GmbH,Aktiva,71932,,
Hatico Mode GmbH,AKTIVA,892,1270,
LODEN-FREY Verkaufshaus GmbH & Co. KG,Unknown Table,19122,24187,
Sterntaler GmbH,AKTIVA,8461,18087,
Karl Dieckhoff GmbH & Co. KG,AKTIVA,4103,5,
TWD Fibres GmbH,AKTIVA,2108,3,
SE - Blusen Stenau GmbH,AKTIVA,3,3,
CASAMODA,Aktiva,3554287,4139037,
OSPIG GmbH & Co. KG,Aktiva,6,6,
Marc Aurel Textil-GmbH,Unknown Table,20053,12740,
ETV EING TEXTIL-VEREDLUNG GmbH & Co. KG,Aktiva,1587240,1748104,
Bültel Bekleidungswerke GmbH,Aktiva,7421,8107,
MAPROM GmbH,Aktiva,661881,760409,
ALBERTO GmbH & Co. KG,Aktiva,33760,40247,
Friedrich W. Schneider GmbH & Co. KG,AKTIVA,126263,134586,
Kaiser Bekleidungs GmbH,AKTIVA,11373,12632,
Setex-Textil-GmbH,Aktiva,1802273,2332623,
Miltenberger Otto Aulbach GmbH,AKTIVA,16294,20,
erima GmbH,Aktiva,8851045,9569277,
car i.t.a. GmbH & Co. KG,Aktiva,1336205,1560406,
HAKRO GmbH,Aktiva,1404022,1546750,
Forbo Siegling GmbH,Aktiva,2918405,1510459,
KLAUS MODELLE KM,AKTIVA,251943,223199,
Willy Maisel GmbH,AKTIVA,1331373,1250,
Atelier Gardeur GmbH,Aktiva,7787,10794,
Ferd. Hauber GmbH,Aktiva,93725,100715,
LIROS GmbH,AKTIVA,1777,3703,
Bierbaum Proenen GmbH & Co. KG,Aktiva,10292,11669,
Textilveredelung Edgar Kunz,A. Darstellung des Geschäftsverlaufs Der erwirtschaftete Umsatz des Gesamtunternehmens konnte gegenü,172041,215094,
Angels GmbH,Aktiva,1,1,
Verseidag-Indutex GmbH,Unknown Table,6172643,3499263,
Work in Progress Textilhandels GmbH,Aktiva,61610,82,
STFG Filamente GmbH,Aktiva,3955725,6309056,
Sassa Mode GmbH,Unknown Table,4578,5612,
VIA APPIA MODE GmbH,AKTIVA,9923,3106,
BOFA-Doublet GmbH,AKTIVA,9453,,
MAERZ Muenchen KG,AKTIVA,17215,19738,
Country Line Trachtenmoden GmbH,Aktiva,92989,134452,
Lässig GmbH,Aktiva,2657,3472,
Bamberger Kaliko Textile Finishing GmbH,Aktiva,1013,13302,
Falk & Ross Group Europe GmbH,AKTIVA,3939326,4302368,
Gustav Ernstmeier GmbH & Co. KG,Unknown Table,3368569,3926069,
Fuchs & Schmitt GmbH & Co. KG,Aktiva,6577,10970,
monari GmbH,Aktiva,302005,327349,
Willax GmbH Bekleidungswerk,AKTIVA,31576,25079,
RoFa-Moden Faller GmbH & Co.,AKTIVSEITE,72784,69208,
Canda International GmbH & Co. OHG,Aktiva,17086,38563,
Lederfabrik Josef Heinen GmbH & Co KG,Aktiva,1240569,1384128,
Escape Clothing GmbH,AKTIVA,5637,8818,
Zweigart & Sawitzki GmbH & Co. KG,AKTIVA,1191671,779366,
Oui Gruppe GmbH & Co. KG,Lagebericht für das Geschäftsjahr 2006/2007 1. Darstellung des Geschäftsverlaufs 1.1 Gesamtwirtschaf,13382,7475,
Brands Fashion GmbH,Aktiva,15796,2444,
C. Brühl GmbH & Co. KG,AKTIVA,5832,9323,
Sanetta,Aktiva,460320,317238,
Friedrich Stark GmbH & Co. KG,Aktiva,58556,65891,
