Company,Table,Machine_1,Machine_2,Machine_3
heimatec GmbH,Aktiva,1883097,2564313,
Jakob Lach GmbH & Co. KG,AKTIVA,860889,887185,
Werkzeug- und Geraetebau Klingenthal GmbH,Aktiva,1804039,1293555,
Zimmermann Formenbau GmbH,AKTIVA,2971789,3533034,
Finke Formenbau GmbH,AKTIVA,1343852,1326770,
Wissler & Rademacher GmbH & Co. KG,AKTIVA,1855228,1583779,
ISCAR Germany GmbH,Aktiva,1299896,1367,
Ernst Klimmer,Aktiva,200085,150362,
Dienes Werke fuer Maschinenteile,c. Mitarbeiter,1500756,632900,
PSM Protech GmbH & Co. KG,AKTIVSEITE,952669,998,
Christian Dunkel GmbH,Aktiva,543503,903650,
Modell- und Formenbau Blasius Gerg GmbH,Aktiva,11474452,12280898,
SCHEUERMANN + HEILIG GmbH,Aktiva,7660199,6446909,
Mueller Modell- und Formenbau,AKTIVSEITE,2812881,3745944,
WELLGO Geraetetechnik GmbH,Aktiva,1024779,1461530,
Alfred Konrad Veith GmbH andCo. KG,AKTIVA,880799,1034299,
Agathon GmbH & Co. KG,Aktiva,2982542,2547139,
a.i.m. all in metal GmbH,AKTIVA,10213516,11811006,
Johannes Meier Werkzeugbau GmbH,Aktiva,2137283,2704537,
Braunform GmbH,AKTIVA,9200406,9877906,
Frielinghaus GmbH,Aktiva,2660959,2222,
MHT Mold & Hotrunner Technology AG,Aktiva,479408,288286,
Eckerle GmbH,Aktiva,777090,985131,
Siegfried Hofmann GmbH,Aktiva,6184907,6790933,
AKO - Kunststoffe Alfred Kolb GmbH,Aktiva,16209,24878,
Heimberger GmbH,AKTIVA,4239182,4288577,
INGERSOLL Werkzeuge GmbH,Aktiva,8339516,8998,
WOLF Werkzeugtechnologie GmbH,Aktiva,2770553,3601846,
MEBA-Metall- Bandsaegemaschinen GmbH,Aktiva,977838,1124202,
Horst Scholz GmbH & Co. KG,"Sonstige finanzielle Verpflichtungen, die nicht in der Bilanz auszuweisen und auch keine Haftungsver",383039,,
Bharat Forge Daun GmbH,AKTIVA,1646736,2768665,
Neuhaus Metallproduktions-GmbH,Aktiva,3228017,3562750,
KOMET Deutschland GmbH,Aktivseite,13677021,21521,
CONCAD GmbH,Aktiva,61891,60032,
