Company,Table,Machine_1,Machine_2,Machine_3
Elektrowerkzeuge GmbH Eibenstock,AKTIVSEITE,3496509,2753709,
Bohle AG,AKTIVSEITE,1167317,1014137,
"J. Koenig GmbH & Co. Werkzeugfabrik,",Aktiva,761169,805250,
Gerd Eisenblaetter GmbH,Aktiva,585857,753481,
Extricom Extrusion GmbH,Aktiva,657131,689790,
SWM Werkzeugfabrik GmbH & Co. KG,Aktiva,1226901,1340209,
ZEROCLAMP GmbH,Aktiva,1252771,1578816,
Feinhuette Halsbruecke GmbH,Aktiva,2907277,1300516,
TBi Industries GmbH,Aktivseite,629847,582518,
Buehnen GmbH & Co. KG,AKTIVA,2751,4814,
Krebs & Riedel Schleifscheibenfabrik,AKTIVA,3183091,2821082,
Robert Roentgen GmbH & Co. KG,AKTIVA,6082392,7377261,
MHS Schneidetechnik GmbH,Aktiva,122559,152844,
BSW Zerspanungswerkzeuge GmbH,Aktiva,3236196,3119638,
CFH Loet- und Gasgeraete GmbH,Aktiva,37454,50873,
Nespoli Deutschland GmbH,Aktiva,80,80,
VON ZITZEWITZ GRUPPE GmbH & Co. KG,Aktiva,378195,,
ZCC Cutting Tools Europe GmbH,Aktiva,751351,786233,
OTEC Praezisionsfinish GmbH,Unknown Table,2600234,2004994,
United Salon Technologies GmbH,Aktivseite,1130918,1125980,
CEDIMA Diamantwerkzeug- und,Passiva:,186652,222011,
CERATIZIT Balzheim GmbH & Co. KG,Aktivseite,19526251,19265,
Karl Schuessler GmbH & Co. KG,Die Covid-19 Pandemie hält auch nach dem Schluss des Geschäftsjahres weiter an. Desweiteren ist im F,3238450,,
BDS Maschinen GmbH,Aktiva,1012828,130730,
FRAISA GmbH Praezisionswerkzeuge,Aktiva,2576889,2678761,
Philipp Hafner GmbH & Co. KG,AKTIVA,654338,734,
Maschinenfabrik Otto Baier GmbH,Aktiva,719624,819579,
Mesko-Pinsel GmbH,Aktiva,2857744,2118,
WEFA Singen GmbH,Unknown Table,3714973,3543176,
Jaecklin GmbH,AKTIVA,1458608,1533687,
MAFELL AG,AKTIVA,2472872,1719,
KULLEN-KOTI GmbH,AKTIVA,1478335,1468587,
Rennsteig Werkzeuge GmbH,Aktiva,4830675,3863443,
Jaekel GmbH & Co. KG,"Diemelstadt, den 28. September 2022",200037,203875,
FLEX-Elektrowerkzeuge GmbH,Aktiva,1132887,1255576,
Friedrich Duss,Aktiva,230347,205634,
Techtronic Industries GmbH,Aktiva,12891,70210,
DreBo Werkzeugfabrik GmbH,Unknown Table,1563900,818,
Schwegler Werkzeugfabrik GmbH & Co. KG,Aktiva,258476,185300,
FELO-Werkzeugfabrik GmbH,Aktiva,1579089,1216529,
Lessmann GmbH,Aktiva,580629,627369,
Keil Profi-Werkzeuge GmbH,Die nachfolgenden Nutzungsdauern kommen zur Anwendung:,4,20,
Guenter Effgen GmbH,Aktiva,2345981,2411494,
STANNOL GmbH & Co. KG,Aktiva,9129,12350,
SOLO Kleinmotoren GmbH,Aktiva,670779,168745,
botek Praezisionsbohrtechnik GmbH,Aktiva,12019668,13763332,
HPTec GmbH,Aktiva,2089492,2021,
MK-Tools-Service GmbH,AKTIVA,1826671,1936093,
M E S T O Spritzenfabrik,AKTIVA,176421,119194,
HITACHI Power Tools Europe GmbH,AKTIVA,3,,
Comet Schleifscheiben GmbH,Aktiva,2367278,2834,1228
Weisskopf Werkzeuge GmbH,Aktiva,2527258,3149821,
Oregon Tool GmbH,Aktiva,685817,738056,
Caisley International GmbH,Aktiva,2419495,1953403,
ThermoTex Nagel GmbH,Aktivseite,765231,616886,
SW-Stahl GmbH,Aktiva,1436,2023,
PREBENA Wilfried Bornemann GmbH & Co. KG,AKTIVSEITE,493436,687561,
wolfcraft GmbH,B.5. Vermögenslage,1882671,1648529,
Max Hilscher GmbH,Unknown Table,2087600,1512807,
Inovatools Eckerle & Ertel GmbH,Aktiva,4524844,4993947,
Wiha Group GmbH,AKTIVSEITE,2659712,3634213,
Ruwac Industriesauger GmbH,AKTIVA,772093,615,
Zecha Hartmetallwerkzeugfabrikation GmbH,Aktiva,1183415,30803,
GEDORE Automotive GmbH,Aktiva,93135,122,
Gleason Cutting Tools GmbH,Aktiva,1463496,1240,
DALEX GmbH & Co. KG,AKTIVA,306829,357774,
Klingspor AG,Aktiva,20789765,18626153,
ELORA Werkzeugfabrik GmbH,Die Gesellschaft hat einen Betriebspachtvertrag und verschiedene Miet- und Leasingverträge mit einer,25155,34091,
Beissbarth GmbH,AKTIVA,89008,265745,
H. Schoenenberger GmbH.,Aktivseite,484968,,
Weitkowitz GmbH,Aktiva,1980616,1949725,
Anton Kessel GmbH,Aktiva,467835,390297,
WEHA Ludwig Werwein GmbH,Aktiva,8455,10395,
Koll & Cie. GmbH & Co KG,Unknown Table,1075306,785310,
"Wilhelm Koenig, Maschinenbau GmbH",Unknown Table,2034766,1995973,
Wirth GmbH,Aktiva,1422936,1004,
Orbis Will GmbH + Co. KG,Aktiva,1202223,1550358,
HOSCH Foerdertechnik Recklinghausen GmbH,Unknown Table,93974,102983,
Paul Maschinenfabrik GmbH & Co.,Aktiva,814128,665304,
Goelz GmbH,AKTIVA,42824,49450,
HUNTER Deutschland GmbH,AKTIVSEITE,268826,238781,
Mogatec GmbH,Aktiva,4164958,2678949,
Fichtner & Schicht GmbH,Aktiva,133635,157104,
FELDER GMBH,Aktiva,187,,
Spezialwerkzeuge GmbH Zella-Mehlis,Aktiva,3350062,3716827,
Paul Duemmel Werkzeugfabrik GmbH,Aktiva,1812631,2317972,
Heller Tools GmbH,AKTIVA,1844253,1840625,
Eugen Laegler GmbH,Aktiva,364525,459569,
BEHRINGER EISELE GmbH,Aktiva,25089,29587,
Steinbach & Vollmann GmbH,AKTIVA,157546,233232,
TRIUSO Qualitaetswerkzeuge GmbH,Aktiva,153461,76597,
Starcke GmbH & Co. KG,AKTIVA,6290840,6396,
Alfred Jaeger GmbH,AKTIVA,452801,604216,
LINCOLN ELECTRIC DEUTSCHLAND GmbH,Aktiva,6889675,7771442,
Altrad Lescha Atika GmbH,AKTIVA,210143,234316,
Union Special GmbH,Aktiva,11989,11989,
TKR Spezialwerkzeuge GmbH,Aktiva,735260,1248301,
ADGA - Adolf Gampper GmbH,AKTIVSEITE,6858806,7725,
Makita Engineering Germany GmbH,Aktiva,1719701,1676124,
FREUND VICTORIA Gartengeraete GmbH,AKTIVA,352222,407,
Garant Productions GmbH,AKTIVA,236222,311480,
Karnasch Professional Tools GmbH,Aktiva,7034,9726,
Hazet-Werk,AKTIVA,2343683,2117116,
Wilh. Putsch GmbH & Co. KG,Aktiva,469540,317453,
Alfra GmbH,AKTIVA,252474,366,
Huerner Schweisstechnik GmbH,Unknown Table,29353,80777,
Bayerische Mass-Industrie,Aktiva,780448,931251,
falch gmbh,"die positive umsatzentwicklung in verbindung mit gestiegenen kosten mündet in einem um 10,1 % verbes",4299754,4640365,
Stanley Black & Decker Outdoor GmbH,AKTIVA,2949082,2802470,
Hartmetall-Werkzeugfabrik Paul Horn GmbH,Unknown Table,18636469,22751,
Joh. Clouth GmbH & Co. KG,AKTIVA,826004,925,
Karl-Heinz Arnold GmbH,Aktivseite,2960141,1797797,
Kelch GmbH,Aktiva,617373,750472,
Probst GmbH,Aktiva,817759,783385,
KS Tools Werkzeuge und Maschinen GmbH,Aktiva,361494,524197,
PLANETA-Hebetechnik GmbH,AKTIVA,1356,1796,
INFIELD SAFETY GmbH,AKTIVA,192884,251286,
Consul Werkstattausruestung GmbH,Aktiva,543911,565872,
Hufschmied Zerspanungssysteme GmbH,Aktiva,1701979,1909277,
Stanley Black & Decker Deutschland GmbH,Aktiva,430640,667898,
Friess-Techno-Profi GmbH,Aktiva,1,1,
