Company,Table,Machine_1,Machine_2,Machine_3
Zerspanungs- und Systemtechnik GmbH,Aktiva,3539381,4910477,
CNC - Technik Mack GmbH & Co. KG,AKTIVA,8163797,7013,
Schmidt Automotive GmbH,Aktiva,19722553,17258387,
Auch Präzisionsdrehteile GmbH & Co. KG,Aktiva,930448,1298219,
Kratzer GmbH & Co. KG,AKTIVA,9667779,11922,
Robert Schröder GmbH & Co. KG,Aktiva,1208325,1181826,
Kurze GmbH,Aktiva,5153428,5728090,
WSE-CNC Technologie GmbH,Aktiva,2871431,2058101,
Kreyenberg GmbH,Aktiva,3830734,4140503,
Hommel GmbH,AKTIVA,116355,39860,
AMA,Aktiva,2683927,2795594,
IFSYS Integrated Feeding Systems GmbH,Aktiva,354877,428481,
Klumpp Präzisionswerk GmbH & Co. KG,Aktiva,7114430,7657273,
Dressler Metallverarbeitung GmbH,AKTIVA,6138940,4428743,
H.P. Kaysser GmbH + Co. KG,Unknown Table,10199838,12403,
toolcraft AG,Aktiva,11277731,9682721,
Paul Bippus GmbH & Co. KG,Aktiva,40552109,38712285,
Voigt Systemtechnik GmbH,Aktiva,2522972,2466817,
GLA-WEL GmbH,AKTIVA,499704,593223,
MEYER Drehtechnik GmbH,Aktiva,513613,689419,
PROTEC GMBH ZERSPANUNGSTECHNIK,Aktiva,2728401,2928197,
Seeger Präzisionsdrehteile GmbH,Aktiva,4255649,4924401,
Klumpp GmbH & CO. KG,Aktiva,11221042,12722283,
Berlin Millhouse GmbH,AKTIVA,856773,963116,
Hase GmbH,Aktiva,2398566,2238089,
Avermann-Laser- und Kant-Zentrum GmbH,AKTIVA,985873,411871,
NSI Präzisionsdrehteile GmbH,AKTIVA,4926515,4863654,
Zentner Elektrik - Mechanik GmbH,AKTIVA,191531,204480,
Schubert Fertigungstechnik GmbH,AKTIVA,4498373,4166,
