Company                                    ,Table                                                                                                  ,Machine_1 ,Machine_2 ,Machine_3
BSB Metallverformung                       ,Aktiva                                                                                                 ,  4294182 ,  5610708 ,         
Dienst-Verpackungstechnik GmbH             ,Aktiva                                                                                                 ,    23238 ,    28540 ,         
KELLER HCW GmbH                            ,Aktiva                                                                                                 ,   483786 ,   695297 ,         
Mosca GmbH                                 ,Aktiva                                                                                                 ,   203516 ,  1349282 ,         
BW Papersystems Stuttgart GmbH             ,Aktiva                                                                                                 ,      296 ,          ,         
WF-Maschinenbau und Blechformtechnik       ,Aktivseite                                                                                             ,  1224596 ,     1360 ,         
Sielaff GmbH & Co. KG                      ,AKTIVA                                                                                                 ,  3527480 ,     3321 ,         
vhf camfacture AG                          ,Aktiva                                                                                                 ,  1448482 ,  1348229 ,         
Buss-SMS-Canzler GmbH                      ,Aktiva                                                                                                 ,     2533 ,     1814 ,         
INP Deutschland GmbH                       ,AKTIVA                                                                                                 ,     4878 ,          ,         
Profiroll Technologies GmbH                ,Der wirtschaftliche Erfolg wird wie folgt geplant:                                                     ,  4001666 ,          ,         
Heiber und Schroeder Maschinenbau GmbH     ,Aktiva                                                                                                 ,   109992 ,    19129 ,         
Graebener Maschinentechnik GmbH & Co. KG   ,AKTIVSEITE                                                                                             ,   364480 ,   519354 ,         
Rollon GmbH                                ,AKTIVSEITE                                                                                             ,   380693 ,   408435 ,         
ASYS Automatic Systems GmbH & Co. KG       ,AKTIVA                                                                                                 ,   239777 ,      285 ,         
Schneider & Ozga GmbH & Co. KG             ,Aktiva                                                                                                 ,     1637 ,     2014 ,         
Ottemeier Werkzeug-                        ,AKTIVA                                                                                                 ,    17213 ,    10026 ,         
KLINGER SCHOeNEBERG GmbH                   ,AKTIVA                                                                                                 ,   587717 ,   658015 ,         
RESA Systems GmbH                          ,Die Bilanzverhältnisse und -veränderungen zur Vorjahresperiode sind den nachfolgenden             Da   ,        2 ,          ,         
Lock Antriebstechnik GmbH                  ,Aktiva                                                                                                 ,  2878786 ,  3414996 ,         
Zimmer & Kreim GmbH & Co. KG               ,Unknown Table                                                                                          ,   499746 ,   466057 ,         
