Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
BE-Aluschmiede GmbH,https://www.bons-evers.com/de/,Geisingen,6307037.0,200-350
Aluminium Oxid Stade GmbH,http://www.aos-stade.de/,Stade,61511716.0,350-600
Rheinfelden Alloys GmbH & Co. KG,https://rheinfelden-alloys.eu/,Rheinfelden (Baden),7242843.0,200-350
BAGR Berliner Aluminiumwerk GmbH,https://www.bagr.de/,Berlin,10207072.0,350-600
Aluminium-Werke Wutöschingen AG & Co. KG,https://www.aww.de/,Wutöschingen,11592514.0,350-600
FERTINGER TUBES GmbH,https://fertingertubes.de/,Remscheid,2084292.0,80-120
COIL GmbH,https://aloxide.com/de/,Bernburg (Saale),14380414.0,350-600
HMT Höfer Metall Technik GmbH & Co. KG,https://www.hoefer-hmt.de/,Hettstedt,9769620.0,200-350
MWS Friedrichshafen GmbH,https://www.mws.eu/de,Friedrichshafen,9840033.0,200-350
Hydro Extrusion Offenburg GmbH,https://www.hydro.com/de/de/,Offenburg,6177440.0,200-350
Richter Aluminium GmbH,https://www.richter-aluminium.com/,Schutterwald,4725768.0,120-200
Hydro Aluminium Gießerei Rackwitz GmbH,https://www.hydro.com/de/de/,Rackwitz,3520992.0,120-200
