Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Veolia Water Technologies,https://www.veoliawatertechnologies.de/,Celle,5611592.0,200-350
Ammeraal Beltech GmbH,https://www.ammeraalbeltech.com/de-DE/,Geesthacht,1113211.0,21-40
AP & S International GmbH,https://ap-s.de/,Donaueschingen,2083877.0,80-120
PlanET Biogastechnik GmbH,https://planet-biogas.de/,Vreden,33479.0,No Match
IAS GmbH,https://www.ias-induction.com/de/,Iserlohn,37677.0,No Match
HOFFMANN,https://www.hoffmann-filter.de/,Lengede,1962375.0,80-120
Loibl Förderanlagen GmbH,https://loibl-group.com/de/,Straubing,739132.0,15-20
Fäth GmbH,https://www.faeth.com/,Klipphausen,1632001.0,60-80
Binder GmbH,https://www.binder-foerdertechnik.de/,Burgstetten,713923.0,15-20
KW Energie GmbH & Co. KG,https://www.kwenergie.de/,Freystadt,336543.0,10-15
MENCK GmbH,https://acteon.com/marine-foundations/menck/,Kaltenkirchen,211583.0,No Match
Karl Roll GmbH & Co. KG,https://www.karl-roll.de/startseite.html,Mühlacker,1353614.0,40-60
Comes Maschinen- u. Apparatebau GmbH,https://www.comes-trier.de/pages/de/start.php,Trier,1135756.0,21-40
Cremer Thermoprozessanlagen GmbH,https://www.cremer-polyfour.de/,Düren,238843.0,No Match
WTE Wassertechnik GmbH,https://www.wte.de/WTE.aspx,Essen,39875.0,No Match
Dieffenbacher Maschinenfabrik GmbH,https://dieffenbacher-zaisenhausen.de/,Zaisenhausen,197912.0,No Match
Camfil APC GmbH,https://camfilapc.com/de/,Tuttlingen,289637.0,No Match
INVENT Umwelt- und Verfahrenstechnik AG,https://invent-uv.de/,Erlangen,345351.0,10-15
Hymmen GmbH Maschinen- und Anlagenbau,https://www.hymmen.com/,Bielefeld,581808.0,10-15
ZIEMANN HOLVRIEKA GmbH,https://www.ziemann-holvrieka.com/de/,Ludwigsburg,3521509.0,120-200
Chemieanlagenbau Chemnitz GmbH,https://www.cac-chem.de/,Chemnitz,437880.0,10-15
Schwelm Anlagentechnik GmbH,https://www.schwelm-at.de/home-news.html,Schwelm,41745.0,No Match
Primetals Technologies Germany GmbH,https://www.primetals.com,Erlangen,80947.0,No Match
FHR Anlagenbau GmbH,https://www.fhr.biz/de/,Ottendorf-Okrilla,459800.0,10-15
HOLTEC GmbH & Co. KG,http://www.holtec.de/,Hellenthal,1055662.0,21-40
Watts Industries Deutschland GmbH,https://wattswater.de/,Landau in der Pfalz,770438.0,15-20
Seebach GmbH,https://www.seebach.com/,Vellmar,950968.0,21-40
wks Technik GmbH,https://www.wksgroup.de/,Dresden,40906.0,No Match
Loewe-Industrieofenbau GmbH,http://www.loewe-gmbh.de/de/industrieofenbau.html,Oberhausen,652169.0,10-15
Oswald Metzen GmbH,https://metzen.org/,Bitburg,425731.0,10-15
Andreas Lupold Hydrotechnik GmbH,https://www.lupold.de/,Vöhringen,13463278.0,350-600
EDL Anlagenbau Gesellschaft mbH,https://www.edl.poerner.de/,Leipzig,36306.0,No Match
CREAVAC-Creative Vakuumbeschichtung GmbH,https://www.creavac.de,Dresden,1711346.0,60-80
TAKRAF GmbH,https://www.takraf.com/,Leipzig,1674641.0,60-80
Schulz Systemtechnik GmbH,http://www.schulz.st/,Visbek,257278.0,No Match
2G Energy AG,https://2-g.com/de/,Heek,557050.0,10-15
CeH4 technologies GmbH,https://www.ceh4.de/,Celle,1089086.0,21-40
Walter Gerätebau GmbH,https://walter-cleaningsystems.de/,Sachsenheim,46007.0,No Match
ULT AG,https://www.ult.de/,Löbau,101793.0,No Match
Julius Montz GmbH,https://www.montz.de/,Hilden,249227.0,No Match
A+F Automation + Fördertechnik GmbH,https://af-gmbh.de/de/,Kirchlengern,739234.0,15-20
Riensch & Held GmbH & Co. KG,https://www.riensch.de/home.html,Hamburg,787729.0,15-20
Lödige Industries GmbH,https://www.lodige.com/de-de/,Warburg,193239.0,No Match
ViscoTec Pumpen-u. Dosiertechnik GmbH,https://www.viscotec.de/,Töging am Inn,857830.0,15-20
Richard Kablitz GmbH,https://www.kablitz.de/,Lauda-Königshofen,238704.0,No Match
