Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
ETG ELASTOMER-TECHNIK GEDERN GmbH,https://www.etggmbh.com/,Gedern,2573955.0,120-200
SMARTRAC Specialty GmbH,https://rfid.averydennison.com/en/home.html,Reichshof,3189300.0,120-200
Cohline GmbH Schlauchleitungssysteme,https://www.cohline.de/,Dillenburg,2003129.0,80-120
Hanns Glass GmbH & Co. KG,http://www.hanns-glass.com/,Meuselwitz,2361786.0,80-120
odelo GmbH,https://odelo.de/de,Stuttgart,1114186.0,21-40
Musashi Bad Sobernheim GmbH & Co. KG,https://www.boc.de.musashi-group.com/,Bad Sobernheim,21185379.0,350-600
Schuster Kunststofftechnik GmbH,https://iml-specialist.com/,Waltershausen,1972981.0,80-120
FORMTEIL- UND SCHRAUBENWERK,https://www.af-fiwa.de/,Finsterwalde,8511884.0,200-350
Magna Mirrors Schleiz GmbH,https://www.magna.com/,Schleiz,771828.0,15-20
H+E Molding Solutions GmbH,https://www.hero-ittlingen.com/index.php/de/,Ittlingen,557802.0,10-15
HS-Schoch GmbH,https://www.hs-schoch.de/,Lauchheim,2846946.0,120-200
Beutlhauser GmbH & Co. KG,https://beutlhauser.com,Salzweg,3116434.0,120-200
Henniges Automotive GmbH & Co. KG,https://ruester-gmbh.de/,Rehburg-Loccum,15342984.0,350-600
ABT Sportsline GmbH,https://www.abt-sportsline.de/tuning/,Kempten (Allgäu),221715.0,No Match
GEDIA Gebrüder Dingerkus GmbH,https://www.gedia.com/,Attendorn,25090867.0,350-600
Melexis GmbH,https://www.melexis.com/en,Erfurt,9065586.0,200-350
Dieter Braun GmbH,https://kabelkonfektion.com/,Bayreuth,494335.0,10-15
Craemer GmbH,https://www.craemer.com/startseite/,Herzebrock-Clarholz,31802336.0,350-600
Alutrim Europe GmbH,http://www.alutrim.de,Kyritz,3132156.0,120-200
JOPP Holding GmbH,https://www.jopp.com/,Bad Neustadt an der Saale,45932.0,No Match
ACPS Automotive GmbH,https://www.acps-automotive.com/,Ingersheim,7165371.0,200-350
Magna Spiegelsysteme GmbH,,Assamstadt,7411477.0,200-350
Innomotive Systems Hainichen GmbH,https://www.ish-automotive.de/,Hainichen,18160274.0,350-600
Gestamp Griwe Westerburg GmbH,https://www.griwe.de/de/,Westerburg,16537388.0,350-600
CP Tech GmbH,https://www.cp-tech.com/de/,Büren,1002718.0,21-40
Antolin Straubing GmbH,https://www.antolin-straubing.de,Straubing,9136535.0,200-350
CMC Klebetechnik GmbH,https://www.cmc.de/,Frankenthal,376435.0,10-15
Molex Elektronik GmbH,http://www.molex.com/,Ettlingen,253745.0,No Match
FEUER powertrain GmbH & Co. KG,https://feuer-pt.de/,Nordhausen,52615314.0,350-600
SKF ECONOMOS Deutschland GmbH,https://dichtungen-stuttgart.com/,Bietigheim-Bissingen,942568.0,21-40
Weber GmbH & Co. KG,https://www.weber-group.com/,Dillenburg,3533965.0,120-200
RaceChip Chiptuning GmbH & Co KG,https://www.racechip.de,Göppingen,285106.0,No Match
Rhodius GmbH,https://www.rhodius.com/,Weißenburg in Bayern,6418794.0,200-350
MVO GmbH,https://www.gmh-gruppe.de/de-de/gmh-gruppe/gruppen-unternehmen/mvo-gmbh/,Schwäbisch Gmünd,13829728.0,350-600
IHI Charging Systems International GmbH,https://www.ihi-csi.de/,Amt Wachsenburg OT Ichtershausen,2364307.0,80-120
cellcentric GmbH & Co. KG,https://cellcentric.net/,Kirchheim unter Teck,7346085.0,200-350
Otto Vollmann GmbH & Co KG,https://www.vollmann-group.com/,Gevelsberg,1257560.0,40-60
SYNTEKS Umformtechnik GmbH,https://www.vollmann-group.com/unternehmen/produktionsstandorte/zwonitz,Zwönitz,8266859.0,200-350
AZ Ausrüstung und Zubehör,https://www.vollmann-group.com/,Hattingen,1779571.0,60-80
ViGEM GmbH,https://vigem.de/,Karlsruhe,97821.0,No Match
Finow Automotive GmbH,https://www.finowautomotive.de/,Eberswalde,5989513.0,200-350
Drexler Automotive GmbH,https://www.drexler-automotive.com/,Salzweg,2075338.0,80-120
BIA Kunststoff- und Galvanotechnik,https://www.bia-group.com/,Solingen,8644619.0,200-350
Ruhrtaler Gesenkschmiede,https://www.ruhrtaler.de/,Witten,2574613.0,120-200
High Precision Components Witten GmbH,https://www.hpc-automotive.de/,Witten,4609536.0,120-200
ELDISY GmbH,https://eldisy.de,Gardelegen,5162453.0,200-350
ELEKTRA GmbH,https://www.elektra-schalkau.de/,Schalkau,4140903.0,120-200
iwis smart connect GmbH,https://smartconnect.iwis.com/de,Rieden am Forggensee,8843442.0,200-350
Brembo SGL Carbon Ceramic Brakes GmbH,https://www.carbonceramicbrakes.com/de/pages/default.aspx,Meitingen,28214726.0,350-600
Dr. Freist Automotive Bielefeld GmbH,https://www.dfabielefeld.de/,Bielefeld,6620797.0,200-350
NIFCO Germany GmbH,https://www.nifco.de/,Weißenburg in Bayern,12356102.0,350-600
IMR Deutschland GmbH,http://www.imr-industries.com/,Peine,2759188.0,120-200
Wagon Automotive Nagold GmbH,http://www.wagon-nagold.de/,Nagold,74687619.0,350-600
Rollax GmbH & Co. KG,https://www.rollax.com/,Bad Salzuflen,430254.0,10-15
Sensata Technologies GmbH,https://www.sensata.com/,Berlin,310582.0,10-15
Federal-Mogul Bremsbelag GmbH,https://www.drivparts.com/de-de/,Glinde,13374068.0,350-600
WAFA Germany GmbH,https://www.demmel.de/,Augsburg,2093769.0,80-120
Knott GmbH,https://www.knott.de/,Eggstätt,2464640.0,80-120
KBE Elektrotechnik GmbH,https://www.kbe-elektrotechnik.com/,Berlin,1567112.0,60-80
smk systeme metall kunststoff,https://www.smk-systeme.de/,Filderstadt,13057406.0,350-600
Metaldyne GmbH,https://www.aam.com/,Zell am Harmersbach,8795737.0,200-350
FKT GmbH,https://www.fkt-gmbh.com/,Pförring,906690.0,21-40
Thun Automotive GmbH,https://www.thun-automotive.de/,Gevelsberg,4246940.0,120-200
OKE Group GmbH,https://www.oke-group.com/de/,Hörstel,63397.0,No Match
Oetiker Deutschland GmbH,https://www.oetiker.com/,Endingen am Kaiserstuhl,2962098.0,120-200
Hör Technologie GmbH,https://www.hoer-technologie.de/,Weiden in der Oberpfalz,4404144.0,120-200
L&P Automotive Europe GmbH,https://leggett-automotive.com/,Nürnberg,151045.0,No Match
Molex CVS Dabendorf GmbH,https://www.molex.com,Zossen,9643447.0,200-350
Hehnke GmbH & Co. KG,https://www.hehnke.de/,Steinbach-Hallenberg,3743399.0,120-200
Alfred Heyd GmbH u. Co. KG,http://www.heyd-parts.de/,Bietigheim-Bissingen,2249190.0,80-120
Nobo Automotive Systems Germany GmbH,http://www.motusintegrated.com/,Überherrn,7930389.0,200-350
BRUSS Sealing Systems GmbH,https://www.bruss.de/,Hoisdorf,12449379.0,350-600
Sinterwerke Herne GmbH,http://www.sinterwerke.com/de/,Herne,3725279.0,120-200
Mühlhoff Umformtechnik GmbH,https://www.muehlhoff.de/index.php/de/,Uedem,10738996.0,350-600
ESKA Automotive GmbH,https://eska.net/de/unternehmen/profil.html,Chemnitz,10416886.0,350-600
Bäringhaus & Hunger GmbH,https://www.baeringhaus-hunger.de/,Grünhainichen,2452431.0,80-120
U-Shin Deutschland GmbH,https://www.u-shin-ltd.com/en/company/tabid/316/Default.aspx,Erdweg,4262435.0,120-200
Kasai (Germany) GmbH,,Wolfsburg,222410.0,No Match
