Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Bansbach easylift GmbH,https://www.bansbach.com/index.php/de/,Lorch,1762329.0,60-80
Bischoff Federnwerk,https://www.federnwerk-bischoff.de/,Staßfurt,4922702.0,120-200
Pieron GmbH,https://pieron.international/,Bocholt,5273770.0,200-350
thema-Form- & Federntechnologie,https://www.thema-federn.de/de/,Finnentrop,2183447.0,80-120
HAHN-Gasfedern GmbH,https://www.hahn-gasfedern.de/de,Aichwald,1931010.0,80-120
WEFORMA Dämpfungstechnik GmbH,https://www.weforma.com/,Stolberg (Rheinland),2709039.0,120-200
Federnwerke J.P. Grueber GmbH & Co. KG,https://grueber.de/,Hagen,2876548.0,120-200
Hans Ziller GmbH,https://www.ziller-federn.de/,Böhmenkirch,937440.0,21-40
BREMA-WERK GmbH & Co. KG,https://www.bremawerk.de/,Schwabach,767210.0,15-20
Federnfabrik Dietz GmbH,https://www.dietz.eu/,Neustadt bei Coburg,1340184.0,40-60
Stumpp & Schüle GmbH,https://www.stumpp-schuele.de/,Beuren,1168718.0,21-40
S & P Federnwerk GmbH & Co. KG,https://www.lesjoforsab.com/de,Nisterau,1549473.0,60-80
Schomäcker Federnwerk GmbH,https://www.schomaecker.de/,Melle,481068.0,10-15
SOGEFI PC SUSPENSIONS Germany GmbH,https://www.sogefigroup.com/de/konzernprofil/weltweite-prasenz.html,Völklingen,665770.0,10-15
Baumann GmbH,https://www.baumann-springs.com/,Lichtenstein,7148662.0,200-350
Kurt Kauffmann technische Federn GmbH,https://www.kauffmann-federn.de/de/,Weinstadt,1153976.0,21-40
Ernst W. Velleuer GmbH & Co. KG,https://velleuer.de/,Velbert,3441753.0,120-200
CEFEG GmbH Federn-,https://www.cefeg.de/,Chemnitz,4797655.0,120-200
