Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Theo Bechtold GmbH & Co KG.,https://www.bechtoldfenster.de/?id=2,Kronau,811033.0,15-20
HAUTAU GmbH,https://www.hautau.de/,Helpsen,1814543.0,80-120
Löffel Fenster + Fassaden GmbH & Co KG,https://www.loeffelfenster.de/,Herxheim bei Landau/Pfalz,389007.0,10-15
Josef Baumeister GmbH,http://www.baumeister-borken.de/,Borken,488573.0,10-15
De-Ka Kunststoffenster GmbH,https://www.deka-fenster.de/,Bielefeld,3479244.0,120-200
Döpfner Betriebs GmbH & Co. KG,https://www.doepfner.de/,Gerolzhofen,102773.0,No Match
SELO Fensterbau GmbH,http://www.selo-premiumfenster.de/,Frankenthal,1000481.0,21-40
UNILUX GmbH,https://www.unilux.de/de/,Salmtal,2044102.0,80-120
Meißner Fenstertechnik GmbH,https://www.meissnerfenstertechnik.de/,Niederau,1017656.0,21-40
FRESAND GmbH,https://fresand.de/,Reddelich,1630948.0,60-80
EXTE GmbH,https://www.exte.de/,Wipperfürth,3987015.0,120-200
neuform-Türenwerk Hans Glock,https://www.neuform-tuer.com/,Erdmannhausen,3082728.0,120-200
Gugelfuss GmbH,https://www.gugelfuss.de,Elchingen,4275849.0,120-200
hapa AG,https://hapa.de/,Herrieden,418213.0,10-15
Dr. Hahn GmbH & Co. KG,https://www.dr-hahn.eu/,Mönchengladbach,5496787.0,200-350
Haidl Fenster & Türen GmbH,https://www.haidl.de/,Röhrnbach,650968.0,10-15
RITTER Fenster & Türen GmbH,https://www.ritter-fenster.de/,Bitburg,741943.0,15-20
Aldra Fenster und Türen GmbH,https://www.aldra.de/,Meldorf,3126711.0,120-200
Josef Meeth - Fensterfabrik GmbH + Co.KG,https://www.meeth.de/,Laufeld,374966.0,10-15
Kochs GmbH,https://www.kochs.de/,Herzogenrath,1715825.0,60-80
H. O. Schlüter GmbH,https://www.ho-schlueter.com/,Hanerau-Hademarschen,4256366.0,120-200
Portawin Kriege GmbH,https://portawin.de,Essen,2582423.0,120-200
Deceuninck Germany GmbH,https://www.deceuninck.de/de/,Bogen,60407805.0,350-600
TMP Fenster + Türen GmbH,https://www.tmp-online.de/,Bad Langensalza,1671180.0,60-80
Schindler Fenster + Fassaden GmbH,https://www.schindler-roding.de/,Roding,3409133.0,120-200
Stader Glas GmbH & Co.,https://www.staderglas.com/,Stade,476796.0,10-15
Lemuth GmbH,http://www.lemuth.com/,Meiningen,815831.0,15-20
MOBA Fenster + Türen GmbH,https://moba-fenster.de,Lübeck,147624.0,No Match
Merschmann Fenster GmbH & Co. KG,https://www.merschmann-fenster.de/de/index.php,Delbrück,3117883.0,120-200
HAMA Alu + Holzbauwerk GmbH,https://www.hama-fenster.de/,Rottenburg an der Laaber,1023947.0,21-40
Terhalle Holzbau GmbH,https://www.terhalle.de/,Ahaus,741169.0,15-20
wipfler fenster+fassaden gmbh,https://www.wipfler-fenster.de/,Zusmarshausen,428393.0,10-15
Finstral GmbH,https://www.finstral.com/de/kontakt/h%C3%A4ndlersuche/31-0.html,Gochsheim,7035563.0,200-350
Diedrich Schröder GmbH,https://www.schroeder-hesel.de/,Hesel,480361.0,10-15
vitaDOOR GmbH & Co. KG,https://www.vitadoor.de/,Stadtlohn,4798826.0,120-200
Dobler Metallbau GmbH,https://www.dobler-metallbau.com/,Deggendorf,2133341.0,80-120
Feldhaus Fenster + Fassaden,https://feldhaus.de/,Emsdetten,350724.0,10-15
Bayerwald - Fenster Haustüren GmbH,https://www.bayerwald-fenster-tueren.de/,Neukirchen vorm Wald,1238321.0,40-60
Uniplast GmbH Bauteile,https://www.up-fenster.de,Maßweiler,139485.0,No Match
Schock Fensterwerk GmbH,https://www.schock-fensterwerk.de/,Denkendorf,68420.0,No Match
EGE GmbH,https://www.ege.de/de/,Verl,514575.0,10-15
BE BAUELEMENTE GMBH,https://be-fenster-tueren.de/,Leopoldshöhe,3620977.0,120-200
Siems fenster + türen GmbH,https://www.siems-fenster.de/,Wiefelstede,4651292.0,120-200
Strobel Fensterbau GmbH,https://www.strobel-fenster.de/,Bad Wörishofen,21443.0,No Match
Hans Timm Fensterbau GmbH & Co. KG,https://www.timm-fensterbau.de/,Berlin,3349170.0,120-200
Trefz GmbH,https://trefz-fenster.de/home.html,Wüstenrot,359439.0,10-15
Fenstertechnik brand GmbH,http://www.fenstertechnik-brand.de/txp/,Treffurt,4095919.0,120-200
Schreinerei & Metallbau Wagner GmbH,https://www.fensterbau-wagner.de/,Niederwürschnitz,70247.0,No Match
IDEAL Fensterbau Weinstock GmbH,https://www.ideal-fensterbau.de/,Wittlich an der Lieser,898766.0,15-20
Moser GmbH Innenausbau/Fensterbau,https://www.moser.gmbh/,Haslach im Kinzigtal,793807.0,15-20
TH. ZINK GmbH Fenster und Türen,https://www.zink-fenster.de/,Bergen,256221.0,No Match
Menck Fenster GmbH,https://www.menck-fenster.de/,Hamburg,1834871.0,80-120
Vieler International GmbH + Co. KG,https://www.vieler.net/web/,Iserlohn,20051.0,No Match
Solarlux GmbH,https://solarlux.com/de-de/,Melle,6646156.0,200-350
