Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
ante-holz GmbH,https://www.ante-holz.de/,Bromskirchen,12126394.0,350-600
Hüster GmbH,http://www.huester-gmbh.de,Warstein,2423705.0,80-120
Caspari GmbH & Co. KG,https://www.caspari.de/,Waldbröl,4334897.0,120-200
Leistenfabrik Arnold Deppe GmbH & Co. KG,https://deppe.de/,Verl,988083.0,21-40
Dölker Holzwerk GmbH & Co. KG,,Horb am Neckar,61529.0,No Match
Binderholz Kösching GmbH,https://www.binderholz.com/,Kösching,14925663.0,350-600
Gebr. Eigelshoven GmbH & Co. KG,https://www.holz-eigelshoven.de/de/,Würselen,3508800.0,120-200
Ziegler Holzindustrie GmbH & Co. KG,https://www.ziegler.global/,Plößberg,13651884.0,350-600
Palettenfabrik Bassum GmbH,https://bassum.com/,Bassum,941403.0,21-40
Holzwerke Ladenburger GmbH & Co. KG,https://www.ladenburger.de/index.php/de/,Geithain,7091187.0,200-350
Holz-Hauff GmbH,https://www.holz-hauff.de/,Leingarten,782415.0,15-20
Holzwerke van Roje GmbH & Co. KG,https://www.vanroje.de/de/,Oberhonnefeld-Gierend,1839590.0,80-120
Theodor Herbert GmbH & Co. KG,https://www.herbert-motten.de/,Motten,1570048.0,60-80
Holzwerke Pfarrkirchen GmbH,https://hwpan.de/,Pfarrkirchen,819529.0,15-20
Hirsch & Sohn Holzhandel GmbH,https://www.holzhirsch.de/,Rheinstetten,79918.0,No Match
Bruno Reimann GmbH & Co. KG,https://www.holz-reimann.de/,Bad Harzburg,46087.0,No Match
OPITZ HOLZBAU GmbH & Co. KG,https://opitz-holzbau.de/,Neuruppin,1324381.0,40-60
HBV Holz- und Baustoff-Vertrieb,https://www.hbv-wilhelmshaven.de/,Wilhelmshaven,32773.0,No Match
Friedrich Klatt GmbH,https://www.klatt.de/,Lübeck,606062.0,10-15
KRUG Holzsystembinder GmbH,https://krug-holzbau.de/startseite/,Stadtlauringen,795922.0,15-20
JAF IMHOLZ GmbH,https://www.jaf-imholz.de/,Leipzig,20402.0,No Match
Hansa-Holz Wilhelm Krüger GmbH,https://www.hansaholz.de/,Bremen,487474.0,10-15
HIT Holzindustrie Torgau GmbH & Co. KG,https://www.hit-holz.de/,Torgau,78698527.0,350-600
elka-Holzwerke GmbH,https://www.elka-holzwerke.de/,Morbach,4030991.0,120-200
Holzindustrie Templin GmbH,https://hitemplin.com/,Templin,1783333.0,60-80
KGM Massivholz GmbH,https://www.kgm-massivholz.de/,Oettingen in Bayern,1568630.0,60-80
Pfeifer Holz GmbH,https://www.pfeifergroup.com/,Kühbach,29257844.0,350-600
Pfeifer Holz Lauterbach GmbH,https://www.pfeifergroup.com/de/standorte/lauterbach/,Lauterbach,32774597.0,350-600
Pfeifer Holz GmbH,https://www.pfeifergroup.com/de/standorte/uelzen/,Uelzen,29257844.0,350-600
Pieper Holz GmbH,https://www.pieperholz.de/de/start,Olsberg,3318835.0,120-200
Karl Ahmerkamp Vechta GmbH & Co. KG,https://www.holz-ahmerkamp.de/,Vechta,145516.0,No Match
Holz Ruser GmbH & Co KG,https://holzruser.de/,Bornhöved,5930624.0,200-350
Holz Schiller GmbH,https://holz-schiller.de//,Regen,3884443.0,120-200
Deutsche Holzveredelung Schmeing,https://www.dehonit.de/,Kirchhundem,1077565.0,21-40
Josef Schmelter GmbH Sägewerk,https://www.schmelter.de/,Lennestadt,7536098.0,200-350
Holzwerk Gebrüder Schneider GmbH,https://www.schneider-holz.com/,Eberhardzell,372602.0,10-15
SWL-Tischlerplatten Betriebs-GmbH,https://www.s-w-l.com/,Langenberg,4417651.0,120-200
MeisterWerke Schulte GmbH,https://www.meisterwerke.com/de,Rüthen,22443608.0,350-600
Schwaiger Holzindustrie GmbH & Co. KG,https://www.schwaiger-holzindustrie.de/,Hengersberg,31174632.0,350-600
Sörnsen Holzleisten GmbH,https://www.soernsen.com/de/,Süderbrarup,1450661.0,40-60
Binderholz Burgbernheim GmbH,https://www.binderholz.com/,Burgbernheim,27055963.0,350-600
Hördener Holzwerk GmbH,https://hoerdener-holzwerk.de/home.html,Gaggenau,3980276.0,120-200
Holzkontor Preussen GmbH,https://www.hk-preussen.de/,Berlin,4803688.0,120-200
Holzwerke Weinzierl GmbH,https://www.holzwerke-weinzierl.de/,Vilshofen an der Donau,8599885.0,200-350
Holzwerke Pröbstl GmbH,https://www.proebstl-holz.de/,Fuchstal,5481761.0,200-350
Hermann Keller,https://www.hermannkeller.de/,Achern,53138.0,No Match
GELO Holzwerke GmbH,https://www.gelo.de/,Weißenstadt,1860279.0,80-120
Ilim Nordic Timber GmbH & Co. KG,https://ilimtimber.com/de/,Wismar,17927322.0,350-600
Dauerholz AG,http://www.dauerholz.de/,Dabel,82110.0,No Match
GUTEX Holzfaserplattenwerk,https://gutex.de/home/,Waldshut-Tiengen,20224811.0,350-600
HolzLand Becker GmbH,https://www.holzlandbecker.de/,Obertshausen,820581.0,15-20
MOCOPINUS GmbH & Co. KG,https://www.mocopinus.com/de/,Ulm,2333823.0,80-120
Adolf Münchinger,https://www.muenchinger-holz.de/,Ötisheim,163813.0,No Match
