Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
APPEL GmbH,https://www.appelgmbh.com/willkommen/,Lauda-Königshofen,2036172.0,80-120
Richard Neumayer GmbH,http://www.r-neumayer.de,Hausach,16661693.0,350-600
AWS Fertigungstechnik GmbH,https://www.aws-ft.de/home/,Niedernhall,2165895.0,80-120
MPT Präzisionsteile GmbH Mittweida,https://www.mpt-group.com/,Mittweida,3530372.0,120-200
THALETEC GmbH,https://thaletec.com/,Thale,581851.0,10-15
Wilhelm Weber GmbH & Co. KG,https://www.weber-esslingen.de/de/,Esslingen am Neckar,2384137.0,80-120
W. Gröning GmbH & Co. KG,https://www.groening.de/,Rheine,9503127.0,200-350
EMW filtertechnik GmbH,https://www.emw.de/de/,Diez,217510.0,No Match
Kohlstädt GmbH,http://www.kohlstaedt.de/,Vlotho,1517559.0,60-80
Berghoff GmbH & Co. KG,http://www.berghoff.eu,Drolshagen,280039.0,No Match
Precision Dispensing Solutions,https://www.precisionglobal.com/,Hattersheim am Main,3569818.0,120-200
Schauenburg Industrietechnik GmbH,https://www.schauenburg-industrietechnik.com/de/,Nürnberg,616502.0,10-15
JVK Filtration Systems GmbH,https://www.jvk.de/index.shtml,Georgensgmünd,2370468.0,80-120
BRIDON INTERNATIONAL GMBH,https://www.bridon-bekaert.com/,Gelsenkirchen,3055401.0,120-200
STICHT Technologie GmbH,https://www.sticht-technologie.com/,Schlangenbad,5040413.0,200-350
Dockweiler Aktiengesellschaft,https://www.dockweiler.com/en,Neustadt-Glewe,1510986.0,60-80
GRIMM AG,https://www.grimm-precision.de/,Gosheim,2931780.0,120-200
Hei-Mat,https://www.heimat-gmbh.de/,Stadtlohn,227280.0,No Match
f-tronic GmbH,https://www.f-tronic.de/,Saarbrücken,5894072.0,200-350
Brugger GmbH,https://www.brugger-magnet.de/de,Hardt,1840997.0,80-120
Edwin Deutgen Kunststofftechnik GmbH,https://www.deutgen-kt.de/,Südheide OT Hermannsburg,4411525.0,120-200
HA-BE Gehäusebau GmbH,https://habe.de/,Essenbach OT Altheim,2343952.0,80-120
John Crane GmbH,https://www.johncrane.com/en,Fulda,370480.0,10-15
BBW Lasertechnik GmbH,https://www.bbw-lasertechnik.de/,Prutting,2809432.0,120-200
MAAS Profilzentrum GmbH,https://www.maasprofile.de/,Ilshofen,232268.0,No Match
CVT-Capellmann GmbH & Co. KG,https://www.cvt.de/,Gosheim,5613437.0,200-350
Xaloy Europe GmbH,https://www.nordson.com/de-de/divisions/polymer-processing-systems,Neckarsulm,791417.0,15-20
HIWIN GmbH,https://www.hiwin.de/de//,Offenburg,6620806.0,200-350
Hutzel DrehTech GmbH,https://www.hutzel.de/,Steinenbronn,5679364.0,200-350
Cytec Zylindertechnik GmbH,http://www.cytec.de/,Jülich,955310.0,21-40
Compressor Products International GmbH,https://www.chartindustries.com/Businesses-Brands/CPI-Compression,Büttelborn,1140860.0,21-40
OVALO GmbH,https://www.ovalo.de/,Limburg an der Lahn,5381313.0,200-350
Desoi GmbH,https://www.desoi.de/,Kalbach,472545.0,10-15
Booster Precision Components,https://www.booster-precision.com/en/,Schwanewede,12705757.0,350-600
Endurance GmbH,http://www.enduranceoverseas.com/endurance-amann/de-endurance-amann/,Massenbachhausen,12709650.0,350-600
RUD-SCHÖTTLER UMFORMTECHNIK &,http://www.rud-schoettler.de/home/,Hagen,676255.0,10-15
Heinz Dreeskornfeld GmbH & Co. KG,https://www.dreeskornfeld.de/,Bielefeld,2832914.0,120-200
INDUNORM Bewegungstechnik GmbH,https://www.indunorm.eu/,Duisburg,965184.0,21-40
Witte Barskamp GmbH & Co. KG,https://www.witte-barskamp.de/,Bleckede,1279913.0,40-60
Weppler Filter GmbH,https://weppler-filter.com/,Oberursel (Taunus),538541.0,10-15
NEUMO Armaturenfabrik-Apparatebau-,https://www.neumo.de/,Knittlingen,422706.0,10-15
DLB Oberviechtach GmbH & Co. KG,https://www.dlb-ovi.com/,Oberviechtach,2692504.0,120-200
Schock Metallwerk GmbH,https://www.schock-group.com,Urbach (Rems),145247.0,No Match
di-soric GmbH & Co. KG,https://www.di-soric.com/,Urbach (Rems),466230.0,10-15
Kurt Zecher GmbH,https://www.zecher.com/,Paderborn,2441214.0,80-120
Walter Steinbach GmbH & Co. KG,https://walter-steinbach.de/,Donaueschingen,1535078.0,60-80
Elsässer Filtertechnik GmbH,https://www.filter-technik.de/,Nufringen,117751.0,No Match
Bruks Klöckner GmbH,https://www.bruks-siwertell.com/,Alpenrod OT Hirtscheid,110546.0,No Match
GMT-Gummi-Metall-Technik GmbH,https://www.gmt-gmbh.com/,Bühl,725398.0,15-20
Spindelfabrik Suessen GmbH,https://www.suessen.com/,Süßen,4445216.0,120-200
Brady GmbH,https://www.brady.de/,Egelsbach,880409.0,15-20
ACE Advanced Composite Engineering GmbH,https://ace-composite.com/de/ace-advanced-composite-engineering,Salem,1776069.0,60-80
Max Schlatterer GmbH & Co. KG,https://esband.de/,Herbrechtingen,5000070.0,200-350
Carl Leipold GmbH,https://www.leipold.com/,Wolfach,2995290.0,120-200
Stengel GmbH,https://www.stengel-gmbh.de/,Ellwangen (Jagst),10994280.0,350-600
HAINBUCH GMBH,https://www.hainbuch.com/,Marbach am Neckar,8527347.0,200-350
HFB Wälzlager - Gehäusetechnik GmbH,https://www.hfb-waelzlager.de/,Buchen (Odenwald),340584.0,10-15
PTM Präzisionsteile GmbH Meiningen,https://www.ptm-meiningen.de/,Meiningen,989295.0,21-40
Rosti GP Germany GmbH,https://www.rosti.com/,Dresden,5084133.0,200-350
Präzisionskugeln Eltmann GmbH,https://www.umbragroup.com/company/umbragroup/57/prazisionskugeln-eltmann-gmbh,Eltmann,2171992.0,80-120
Durbal Metallwarenfabrik GmbH,https://www.durbal.de/,Öhringen,928037.0,21-40
Ortlinghaus-Werke GmbH,https://www.ortlinghaus.com/english/startseite.html,Wermelskirchen,2567038.0,120-200
Boyd Corporation GmbH,https://www.boydcorp.com/aavid.html,Syke,900695.0,21-40
Sekisui Alveo BS GmbH,https://www.sekisuialveo.com/de,Bad Sobernheim,4904771.0,120-200
Küsters Textile GmbH,https://www.benningergroup.com/de/textile-finishing/overview,Zittau,232261.0,No Match
RÖCO GmbH,https://www.roeco.de/,Dortmund,23779.0,No Match
Afag GmbH,https://www.afag.com/,Amberg,227399.0,No Match
Stanztechnik und Werkzeugbau,https://www.loch.de/de/,Idar-Oberstein,3726829.0,120-200
GAPI Technische Produkte GmbH,https://www.gapigroup.com/,Rösrath,3376755.0,120-200
Hellma GmbH & Co. KG,https://www.hellma.com/home/,Müllheim,824625.0,15-20
ST Extruded Products Germany GmbH,https://www.step-g.com/de/,Vogt,38497770.0,350-600
BINDER-KLETTEN-HAFTVERSCHLUSS-SYSTEME GMBH,,Großröhrsdorf OT Bretnig,440320.0,10-15
Hilger u. Kern GmbH,https://www.hilger-kern.de/startseite/,Mannheim,516795.0,10-15
HGGS LaserCUT GmbH & Co. KG,http://www.hggs.de/home/index2.php,Hatzenbühl,1012829.0,21-40
Glüpker Blechtechnologie GmbH,https://gluepker-blechtechnologie.de/,Neuenhaus,6266494.0,200-350
H. Gewing GmbH,https://gewing.de/,Ahaus,3034135.0,120-200
LASCO Umformtechnik GmbH,https://www.lasco.com/,Coburg,4369484.0,120-200
Bernhard Gotzeina & Co. GmbH,https://b-gotzeina.de/,Eisfeld,2180555.0,80-120
Kramski GmbH,https://www.kramski.de/,Pforzheim,12540359.0,350-600
Grünewald Feinmaschinenbau GmbH & Co. KG,https://www.gelenkwellen.de/,Grävenwiesbach,1328875.0,40-60
F & G Normteile Dresden GmbH,https://fug-normteile.de/,Arnsdorf,2072353.0,80-120
Kurt Grützmann Feinmechanik GmbH,https://www.gruetzmann-gmbh.de/,Reinfeld,219065.0,No Match
Kaizhong Vogt GmbH,https://www.kaizhong-vogt.com/,Reutlingen,1915536.0,80-120
FRANK GmbH,https://www.frank-gmbh.de/de/,Mörfelden-Walldorf,596412.0,10-15
Sauter GmbH,https://sauter-drehteile.de/,Wehingen,13590134.0,350-600
Wilhelm Schulz GmbH,,Krefeld,2661083.0,120-200
Fife-Tidland GmbH,https://www.maxcessintl.com/de/,Kelkheim (Taunus),44479.0,No Match
Wippermann junior GmbH,https://www.wippermann.com/,Hagen,1606092.0,60-80
