Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Mouldtec Kunststoff - GmbH,https://www.mouldtec.de/,Kaufbeuren,2792054.0,120-200
RF Plast GmbH,http://www.rf-plast.de/,Gunzenhausen,2390480.0,80-120
Indorama Ventures Polymers Germany GmbH,https://www.indoramaventures.com/en/worldwide/1284/indorama-ventures-polymers-germany-gmbh,Hattersheim am Main,3537965.0,120-200
ttp Papenburg GmbH,https://www.ttp-kunststoffprofile.de,Papenburg,951412.0,21-40
Wefapress Beck + Co. GmbH,https://www.wefapress.com/de,Vreden,2667157.0,120-200
Mast Kunststoffe GmbH,https://www.mast-kunststoffe.de/,Bad Waldsee,1501484.0,60-80
KABO-PLASTIC GmbH,https://www.kabo-plastic.de/,Hartheim am Rhein,1062866.0,21-40
M + S Silicon GmbH & Co. KG,https://www.ms-silicon.de/ms-sil/,Dortmund,993749.0,21-40
emano Kunststofftechnik GmbH,https://www.emano.de/,Teterow,4277699.0,120-200
Terbrack Kunststoff GmbH & Co. KG,https://www.terbrack.de/,Vreden,169928.0,No Match
Cetto Kunststoffverarbeitung GmbH,https://www.cetto-group.de/,Saal an der Donau,1406106.0,40-60
Kunststofftechnik Krug GmbH,https://www.krug-breidenbach.de/,Breidenbach,3819177.0,120-200
Reinhard Bretthauer GmbH,http://www.bretthauer.de/,Dillenburg OT Frohnhausen,805893.0,15-20
GEMA - Technik GmbH,https://www.gema-technik.de/,Bruckmühl,148639.0,No Match
Burkhardt Kunststoffverarbeitung GmbH,https://www.burkhardt-kunststoff.de/,Vaihingen an der Enz,2935184.0,120-200
WEIDPLAS Germany GmbH,https://weidplas.com/de/,Treuen,9435678.0,200-350
Polyblend GmbH,https://www.polyblend.de/,Bad Sobernheim,1289965.0,40-60
Metak GmbH & Co. KG,https://www.metak.de/,Burgwald,413119.0,10-15
satek gmbh,https://www.satek.de/,Salach,624519.0,10-15
KKT Kaller Kunststoff Technik GmbH,https://www.kkt-kall.de/de/,Kall,1370419.0,40-60
Woco Kronacher Kunststoffwerk GmbH,https://www.wocogroup.com/kronach/,Kronach,6859342.0,200-350
epsotech Germany GmbH,https://epsotech.com/de/,Jülich,4049920.0,120-200
Eckerle Holding GmbH,https://www.eckerle-gruppe.com/,Ottersweier,40030.0,No Match
Amper-Plastik R. Dittrich GmbH & Co. KG,https://www.amperplastik.de/,Dachau,875304.0,15-20
Wilkes GmbH,https://www.wilkes.de/,Schwelm,226681.0,No Match
FRÖTEK-Kunststofftechnik GmbH,https://www.froetek.shop/de/,Osterode am Harz,23770.0,No Match
Lehmann & Frommelt Thermoformung GmbH,https://lefro-thermoformung.de/de/,Neustadt i. Sa.,1392374.0,40-60
Funke Kunststoffe GmbH,https://www.funkegruppe.de/,Hamm,5177642.0,200-350
Bergmann Spritzguss,https://spritzguss-bergmann.de/,Telgte,2413205.0,80-120
Zittauer Kunststoff GmbH,http://www.zik-kt.de/,Zittau,1560457.0,60-80
Deutsche Technoplast GmbH,https://www.deutsche-technoplast.com/,Wörth a.d.Donau,52939.0,No Match
Häfner & Krullmann GmbH,https://www.hafner-spools.com/,Leopoldshöhe,3383713.0,120-200
SLG Kunststoff GmbH,https://www.slg-kunststoff.de/,Bernau im Schwarzwald,4565910.0,120-200
Hartmann Kunststofftechnik GmbH & Co. KG,https://www.hartmann-kunststofftechnik.de/de/,Herford,969523.0,21-40
BBP Kunststoffwerk Marbach Baier GmbH,https://www.bbp-online.de/,Marbach am Neckar,4547398.0,120-200
Werner Schmid GmbH,https://www.werner-schmid.de/de/,Fulda,656919.0,10-15
SCHAUENBURG Ruhrkunststoff GmbH,https://www.schauenburg-rk.com/site/schlauchhersteller/,Mülheim an der Ruhr,528009.0,10-15
VACU-FORM Wischemann GmbH & Co KG,https://www.vacu-form.de/,Salzbergen,1844597.0,80-120
Gramß GmbH Kunststoffverarbeitung,https://www.gramss-gmbh.de/,Sonneberg,4721802.0,120-200
Findeis GmbH,https://www.findeis.de/,Kirchlengern,218297.0,No Match
Semperit Profiles Deggendorf GmbH,https://www.semperitprofiles.com/,Deggendorf,5328216.0,200-350
Camso Deutschland GmbH,https://camso.co/de/,Duisburg,713962.0,15-20
