Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Stryker GmbH & Co. KG,https://www.stryker.com/de/de/index.html,Duisburg,274807.0,No Match
LISA Laser Products GmbH,https://www.omni-guide.com/,Katlenburg-Lindau,44747.0,No Match
Sapio Life GmbH & Co. KG,https://www.sapiolife.de/,Homburg,4716792.0,120-200
JOTEC GmbH,https://artivion.com/,Hechingen,3572194.0,120-200
DOT GmbH,https://www.dot-coating.de/,Rostock,6436349.0,200-350
Christian Diener GmbH,https://www.diener-gmbh.de/,Tuttlingen,1085036.0,21-40
Tecan Deutschland GmbH,https://www.tecan.com/,Crailsheim,269135.0,No Match
B. Braun Vorratsgesellschaft Nr. 1 GmbH,http://www.aquaboss.com/,Wittlingen,80703.0,No Match
Bernhard Förster GmbH,https://www.forestadent.com/de-de/,Pforzheim,5342664.0,200-350
Brainlab AG,https://www.brainlab.com/,München,1735809.0,60-80
WILAmed GmbH,https://live.wilamed.de/,Kammerstein,3666349.0,120-200
IBA Dosimetry GmbH,http://www.iba-dosimetry.com/,Schwarzenbruck,1529952.0,60-80
bredent GmbH & Co. KG,https://bredent-group.com,Senden,851310.0,15-20
Dental Direkt GmbH,https://www.dentaldirekt.de/de,Spenge,1216066.0,40-60
Köttermann GmbH,https://www.koettermann.com/,Uetze,31677.0,No Match
Occlutech GmbH,https://occlutech.com/,Jena,1155693.0,21-40
Aero Pump GmbH,https://www.aeropump.de/,Hochheim am Main,10270245.0,350-600
Bort GmbH,https://www.bort.com/de/,Weinstadt,5778902.0,200-350
NOBAMED Paul Danz AG,https://www.noba-direct.com/de/,Wetter (Ruhr),752616.0,15-20
EKF-diagnostic GmbH,https://www.ekfdiagnostics.de/,Barleben,764150.0,15-20
RoweMed AG - Medical 4 Life,https://rowemed.de/,Parchim,1110176.0,21-40
Stryker Trauma GmbH,https://www.stryker.com/de/de/index.html,Schönkirchen,24016800.0,350-600
Andreas Hettich GmbH & Co. KG,https://www.hettichlab.com/de/,Tuttlingen,856685.0,15-20
Eberle GmbH & Co. KG,https://www.eberle-med.de/,Wurmberg,2547073.0,120-200
SRL Dental GmbH,https://www.srldental.com/,Ludwigshafen,1220108.0,40-60
VDW GmbH,https://www.vdw-dental.com/de/,München,4395325.0,120-200
Sysmex Partec GmbH,https://www.sysmex-partec.com/,Görlitz,157219.0,No Match
Stryker Leibinger GmbH & Co. KG,https://www.stryker.com/de/de/index.html,Freiburg im Breisgau,21600437.0,350-600
Berchtold GmbH & Co. KG,https://www.stryker.com/de/de/about/our-locations/tuttlingen.html,Tuttlingen,2549532.0,120-200
Hemoteq AG,https://www.freudenbergmedical.de/de/,Würselen,1066261.0,21-40
medi-G GmbH,https://medi-g.com,Meßkirch,3773309.0,120-200
BRUKER AXS GmbH,https://www.bruker.com/de.html,Karlsruhe,5060987.0,200-350
DiaSys Diagnostic Systems GmbH,https://www.diasys-diagnostics.com/,Holzheim,32678.0,No Match
NVT GmbH,https://www.nvt-med.com/,Hechingen,352807.0,10-15
Greggersen Gasetechnik GmbH,https://www.greggersen.de/,Hamburg,538264.0,10-15
ATMOS MedizinTechnik GmbH & Co. KG,https://atmosmed.com/de,Lenzkirch,504621.0,10-15
VBM Medizintechnik GmbH,https://www.vbm-medical.de,Sulz am Neckar,139495.0,No Match
Mediq Deutschland GmbH,https://www.mediq.de/,Merzig,537697.0,10-15
Phenox GmbH,https://phenox.net/international/,Bochum,222292.0,No Match
Thuasne Deutschland GmbH,http://www.thuasne.de/,Burgwedel,605364.0,10-15
Sunrise Medical GmbH,https://www.sunrisemedical.de/,Malsch,632144.0,10-15
Eckert & Ziegler Bebig GmbH,https://medical.ezag.com/en/bebig/,Berlin,1167986.0,21-40
Haux-Life-Support GmbH,https://hauxlifesupport.de/,Karlsbad,679244.0,10-15
DiaSorin Deutschland GmbH,http://www.diasorin.com/,Dietzenbach,983659.0,21-40
BOWA-electronic GmbH & Co. KG,https://www.bowa-medical.com/shop/de/sys/,Gomaringen,1213309.0,40-60
SycoTec GmbH & Co KG,https://sycotec.eu/,Leutkirch im Allgäu,604949.0,10-15
SPRINGER AKTIV AG,https://www.springer-berlin.de/de.html,Berlin,402984.0,10-15
Catgut GmbH,http://www.catgut.de,Markneukirchen,894921.0,15-20
HITADO GmbH,https://www.hitado.de/,Möhnesee,655290.0,10-15
Pall GmbH,https://shop.pall.com/de/de,Dreieich,585865.0,10-15
Hager & Meisinger,https://www.meisinger.de/,Neuss,2791923.0,120-200
SLK Vertriebsgesellschaft mbH,https://www.slk-gmbh.de/,Waltrop,28989.0,No Match
ITD GmbH,https://www.itd-cart.com/de,Johanniskirchen,116649.0,No Match
FUJIFILM medwork GmbH,https://www.medwork.com/,Höchstadt an der Aisch,3364495.0,120-200
JAHN GmbH,https://www.jahngmbh.de/,Tambach-Dietharz,408098.0,10-15
Medtron Aktiengesellschaft,https://www.medtron.com,Saarbrücken,288549.0,No Match
RESORBA Medical GmbH,https://resorba.com/,Nürnberg,627617.0,10-15
S & C Polymer Silicon- und,https://sc-polymer.com/,Elmshorn,1965780.0,80-120
Kettenbach GmbH & Co. KG,https://www.kettenbach-dental.de/,Eschenburg,328203.0,10-15
Medi-Globe GmbH,https://www.mediglobe-endoflex.de/,Rohrdorf,27723.0,No Match
ENDO-FLEX GmbH,https://www.endo-flex.de/de/,Voerde (Niederrhein),45933.0,No Match
GS Elektromedizinische,https://corpuls.world/,Kaufering,482689.0,10-15
Dr. Ausbüttel & Co. GmbH,https://www.piratoplast.de/kinderwundversorgung/,Dortmund,68653.0,No Match
DETAX GmbH,https://www.detax.de/,Ettlingen,1061196.0,21-40
XENIOS AG,https://www.xenios-ag.com/,Heilbronn,122011.0,No Match
GPE Systeme GmbH,https://gpe-group.de/,Dassow,354337.0,10-15
IONTO Health & Beauty GmbH,https://www.ionto.de/,Karlsruhe,136132.0,No Match
CeMed GmbH Vertrieb und Konfektionierung,https://www.cemed.de/,Neufra,271842.0,No Match
KNAUER Wissenschaftliche Geräte GmbH,https://www.knauer.net/de,Berlin,1501673.0,60-80
Werfen GmbH,https://www.werfen.com/de/en,München,10213051.0,350-600
Medizintechnik Rostock GmbH,https://www.mtronline.de/start/,Berlin,55643.0,No Match
Dieter Marquardt Medizintechnik GmbH,https://www.marquardt-medizintechnik.de/,Spaichingen,1520714.0,60-80
Medos Medizintechnik AG,https://www.xenios-ag.com/,Heilbronn,807483.0,15-20
Nypro Healthcare GmbH,https://www.jabil.com/,Knittlingen,7164026.0,200-350
FotoFinder Systems GmbH,https://www.fotofinder.de/startseite/,Bad Birnbach,44527.0,No Match
Berlin Heart GmbH,https://www.berlinheart.de/,Berlin,4090496.0,120-200
Bruker BioSpin MRI GmbH,https://www.bruker.com/content/bruker/int/de/products-and-solutions/magnetic-resonance.html,Ettlingen,112080.0,No Match
