Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Landis + Gyr GmbH,https://www.landisgyr.com/,Nürnberg,1675785.0,60-80
PTW-Freiburg Physikalisch- Technische,https://www.ptwdosimetry.com/en/,Freiburg im Breisgau,1485775.0,40-60
iba AG,https://www.iba-ag.com/de,Fürth,859301.0,15-20
PN Detector GmbH,https://pndetector.de,München,1211458.0,40-60
indurad GmbH,https://indurad.com,Aachen,99550.0,No Match
W. Bälz & Sohn GmbH & Co.,https://www.baelz.de/,Heilbronn,78399.0,No Match
Bühler Alzenau GmbH,https://www.buhlergroup.com/global/en/homepage.html,Alzenau,1510305.0,60-80
Precitec GmbH & Co. KG,https://www.precitec.com/de/,Gaggenau,670138.0,10-15
Wenglor sensoric,https://www.wenglor.com,Tettnang,1934906.0,80-120
Blum-Novotest GmbH,https://www.blum-novotest.com/,Grünkraut,968646.0,21-40
Discovergy GmbH,https://discovergy.com/,Aachen,327382.0,10-15
Deublin GmbH,https://www.deublin.eu/home,Mainz,3267543.0,120-200
adaptronic Prüftechnik GmbH,https://adaptronic.de/,Wertheim,290321.0,No Match
Smith Meter GmbH,https://www.technipfmc.com/,Ellerbek,294278.0,No Match
Spirax Sarco GmbH Regelapparate,https://www.spiraxsarco.com/global/de-DE,Konstanz,216676.0,No Match
Karl Küfner GmbH & Co. KG,https://www.kuefner.com/,Albstadt,3689471.0,120-200
StandexMeder Electronics GmbH,https://standexelectronics.com/,Engen OT Welschingen,3418039.0,120-200
tado GmbH,https://www.tado.com/de-de/,München,128705.0,No Match
iNOEX GmbH Innovationen und,https://www.inoex.de/,Melle,265852.0,No Match
RMG Messtechnik GmbH,https://www.rmg.com/de,Butzbach,386407.0,10-15
TCS TürControlSysteme AG,https://www.tcsag.de/,Genthin,774205.0,15-20
BIT Analytical Instruments GmbH,https://www.bit-group.com/contact-us/,Schwalbach am Taunus,97653.0,No Match
Metallux AG,https://www.metallux.de/,Leutenbach,206642.0,No Match
Wöhler Technik GmbH,https://www.woehler.de/,Bad Wünnenberg,1105856.0,21-40
Engelmann Sensor GmbH,https://www.engelmann.de/,Wiesloch,767391.0,15-20
LEWA GmbH,https://www.lewa.com/en/home/,Leonberg,5063395.0,200-350
STEINEL Vertrieb GmbH,https://www.steinel.de/de/steinel-group/,Herzebrock-Clarholz,59770.0,No Match
BARTEC BENKE GmbH,https://bartec.com/de/,Reinbek,117908.0,No Match
SEMPELL GmbH,https://sempell.com/de/,Korschenbroich,3290025.0,120-200
DSA Daten- und Systemtechnik GmbH,https://www.dsa.de/de/,Aachen,145737.0,No Match
OTT Hydromet GmbH,https://www.ott.com/de-de/,Kempten (Allgäu),170105.0,No Match
GÖTTFERT Werkstoff-Prüfmaschinen GmbH,https://www.goettfert.de/,Buchen (Odenwald),397013.0,10-15
Keysight Technologies Deutschland GmbH,https://jobs.keysight.com/country-germany_de/,Böblingen,16511767.0,350-600
Entegris GmbH,https://www.entegris.com/,Dresden,107528.0,No Match
Minebea Intec GmbH,https://www.minebea-intec.com/de/,Hamburg,1068543.0,21-40
Lenord Bauer & Co. GmbH,https://www.lenord.de/,Oberhausen,751702.0,15-20
Hegewald & Peschke,https://www.hegewald-peschke.de/startseite/,Nossen,273019.0,No Match
H. Heinz Meßwiderstände GmbH,https://heinz-messwiderstaende.de/,Elgersburg,1544941.0,60-80
Miltenyi Imaging GmbH,https://www.miltenyibiotec.com/DE-en/,Radolfzell am Bodensee,72453.0,No Match
AIP GmbH & Co. KG,https://www.aip-automotive.de/de/,Haldenwang,579223.0,10-15
ARGO-HYTOS GMBH,https://www.argo-hytos.com/de/kontakt.html,Kraichtal,1714935.0,60-80
CAPTRON Electronic GmbH,https://www.captron.de/,Olching,449258.0,10-15
IDENTA Ausweissysteme GmbH,https://identa.com/,Villingen-Schwenningen,615239.0,10-15
EPHY-MESS Gesellschaft für,https://www.ephy-mess.de/,Wiesbaden,278730.0,No Match
Bieler + Lang GmbH,https://bieler-lang.de/,Achern,569742.0,10-15
AMEPA Angewandte Meßtechnik,https://amepa.de/,Würselen,448468.0,10-15
IL - Metronic Sensortechnik GmbH,https://www.il-metronic.com/de,Ilmenau,239216.0,No Match
Telemeter Electronic GmbH,https://telemeter.info/,Donauwörth,117760.0,No Match
Schlaeger M-Tech GmbH,https://www.schlaeger.com/,Bayreuth,58277.0,No Match
LABOM Meß- und Regeltechnik,https://www.labom.com/de/,Hude (Oldenburg),2737333.0,120-200
LAMTEC Meß- und Regeltechnik,https://www.lamtec.de/index.php?id=2,Walldorf,205499.0,No Match
robatherm GmbH & Co. KG,https://www.robatherm.com/de,Jettingen-Scheppach,5105292.0,200-350
NUMERIK JENA GmbH,https://www.numerikjena.de/,Jena,7609201.0,200-350
Carl Zeiss Optotechnik GmbH,https://www.zeiss.de/messtechnik/home.html,Neubeuern,355869.0,10-15
S + S Regeltechnik GmbH,https://spluss.de/,Nürnberg,120996.0,No Match
MARCO Systemanalyse und,https://www.marco.de/,Dachau,2695537.0,120-200
EMH metering GmbH & Co. KG,https://www.emh-metering.de/,Gallin,7447726.0,200-350
Fluke Deutschland GmbH,https://www.fluke.com/,Glottertal,178641.0,No Match
Control Mechatronics GmbH,https://www.ctmt.de/,Nidderau,108993.0,No Match
Yokogawa Deutschland GmbH,https://www.yokogawa.com/de/,Ratingen,92088.0,No Match
Dittel Messtechnik GmbH,https://www.dittel.com/index.php/de/,Landsberg am Lech,566936.0,10-15
Electrovac Hacht und Huber,https://www.electrovac.com/,Salzweg,4007947.0,120-200
CTS GmbH,https://www.cts-umweltsimulation.de/,Hechingen,117191.0,No Match
Power Plus Communications AG,https://www.ppc-ag.de/,Mannheim,238510.0,No Match
RITZ Instrument Transformers GmbH,https://ritz-international.com/,Hamburg,3798640.0,120-200
AMETEK CTS Europe GmbH,https://www.ametek-cts.com/about-us/brands/teseq/,Berlin,912582.0,21-40
Renishaw GmbH,https://www.renishaw.de/de/mit-renishaw-zu-h%C3%B6herer-effizienz-in-der-fertigung-und-im-bereich-healthcare--1030,Pliezhausen,2477153.0,80-120
Ingun Prüfmittelbau GmbH,https://ingun.com/,Konstanz,4105150.0,120-200
ERWEKA GmbH,https://www.erweka.com/,Langen (Hessen),121233.0,No Match
Ecolab Engineering GmbH,https://www.ecolab-engineering.de/de/home.html,Siegsdorf,1052002.0,21-40
Nass Magnet GmbH.,https://www.nassmagnet.com/,Hannover,2485058.0,80-120
Günther GmbH Temperaturmesstechnik,https://www.guenther.eu/de/,Schwaig,463335.0,10-15
Instrument Systems GmbH,https://www.instrumentsystems.com/de/,München,2754582.0,120-200
