Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Robert Bosch Lollar Guss GmbH,https://www.bosch-kundenguss.de/,Lollar,4486778.0,120-200
Walraven GmbH,https://www.walraven.com/de/,Bayreuth,105822.0,No Match
FAUDI Aviation GmbH,https://www.faudi-aviation.com/,Stadtallendorf,508234.0,10-15
Ammann Asphalt GmbH,https://www.ammann.com/,Alfeld (Leine),635727.0,10-15
Ambulanz Mobile GmbH & Co. KG,https://www.ambulanzmobile.de/,Schönebeck (Elbe),1375236.0,40-60
DST Defence Service Tracks GmbH,https://www.defence-st.de/,Remscheid,4544163.0,120-200
Hüppe GmbH,http://www.hueppe.com/,Bad Zwischenahn,485658.0,10-15
LAYERTEC GmbH,https://www.layertec.de/,Mellingen,186415.0,No Match
Becorit GmbH,https://www.wabteccorp.com/business-units/becorit,Recklinghausen,5620392.0,200-350
Armstark Handels-GmbH,https://www.armstark.de/,Tettenweis,230207.0,No Match
Schneider Steuerungstechnik GmbH,https://lisa-lift.de/de/home/,Maitenbeth,85253.0,No Match
ASSMANN GmbH,https://www.assmann-sonderfahrzeuge.de/,Lauffen am Neckar,721734.0,15-20
VERMOP Salmon GmbH,https://www.vermop.de/,Gilching,2338960.0,80-120
Bauer-Walser AG,https://www.bauer-walser.net/,Keltern,1049735.0,21-40
ASB Grünland Helmut Aurenz GmbH,https://asbgreenworld.com/de/,Stuttgart,5086309.0,200-350
Karl Wagenaar GmbH & Co. KG,https://www.wagenaar.com/,Velbert,50843.0,No Match
Gebr. Märklin & Cie. GmbH,https://www.maerklin.de/,Göppingen,2304454.0,80-120
GOES GmbH,https://goes-well.com/,Wesendorf,537642.0,10-15
Esser-Werke GmbH & Co. KG,http://www.esser-werke.de/,Warstein,732510.0,15-20
Koralle Sanitärprodukte GmbH,https://www.koralle.de/index.php,Vlotho,792987.0,15-20
GLASVERARBEITUNGS-GESELLSCHAFT,https://www.isolierglascenter.de/,Deggendorf,4397953.0,120-200
Curt Bauer GmbH,https://curt-bauer.de/,Aue-Bad Schlema,4197936.0,120-200
Lugina Schuhfabrik GmbH,https://xn--waldlufer-z2a.de/,Schwanheim,1370245.0,40-60
PHILIPP BAZLEN GMBH,https://www.bazlen.com/,Metzingen,374769.0,10-15
Thermopor Glas GmbH,https://www.thermopor-glas.de/de/,Merzenich,2116388.0,80-120
LaVision GmbH,https://www.lavision.de/de/,Göttingen,135690.0,No Match
Waggonbau Graaff GmbH,https://www.waggonbau-graaff.de/,Elze,2462024.0,80-120
Mecklenburger Metallguß GmbH,https://mecklenburger-metallguss.com,Waren (Müritz),724503.0,15-20
ILB Industrielackierung Biedermann GmbH,http://www.ilb-gmbh.de/,Unterwellenborn,25243.0,No Match
Kemmlit Bauelemente GmbH,https://www.kemmlit.de/de/home.html,Dußlingen,4399920.0,120-200
THOMAS SABO GmbH & Co. KG,https://www.thomassabo.com/EU/de_DE/home,Lauf an der Pegnitz,435576.0,10-15
LTA Anlagentechnik GmbH,https://www.lta-anlagentechnik.de/,Brüsewitz,1140448.0,21-40
DEUTA-WERKE GmbH,https://www.deuta.com/en/,Bergisch Gladbach,2159170.0,80-120
August Lücking GmbH & Co. KG,https://www.luecking.de/,Paderborn,3487308.0,120-200
Dynapac GmbH,https://dynapac.com/en,Wardenburg,305519.0,10-15
KSO Edelstahlbeizerei GmbH,https://www.kso-beizerei.de/,Wilnsdorf,102066.0,No Match
Glaswerke Haller GmbH,https://www.glas-haller.de/,Kirchlengern,2275895.0,80-120
Bondioli & Pavesi GmbH Deutschland,https://www.bondioli-pavesi.com/de/sales-network?country=de,Groß-Gerau,47828.0,No Match
DUSYMA Kindergartenbedarf GmbH,https://www.dusyma.com/de/,Schorndorf,56149.0,No Match
Europe Match GmbH,https://europematch.eu/,Visselhövede,130811.0,No Match
ALPINA Burkard Bovensiepen GmbH + Co. KG,https://www.alpina-automobiles.com/de/,Buchloe,1623219.0,60-80
Ahlstrom-Munksjö Dettingen GmbH,https://www.ahlstrom-munksjo.com/,Dettingen an der Erms,18864158.0,350-600
UNSINN Fahrzeugtechnik GmbH,https://www.unsinn.de/de,Holzheim,1219957.0,40-60
ATLAS AIR SERVICE Aktiengesellschaft,https://www.aas.ag/,Ganderkesee,38492.0,No Match
Stölzle Lausitz GmbH,http://www.stoelzle-lausitz.de/,Weißwasser,9577951.0,200-350
Franz Brinkmann GmbH,https://www.brista.de/,Ense,2659845.0,120-200
Lück GmbH Co. KG,https://www.lueck.de/,Bocholt,815532.0,15-20
Oberalp Deutschland GmbH,https://www.salewa.com/de-de,Aschheim,1190623.0,21-40
Franz Gottwald GmbH + Co. KG,https://www.gottwald-hydraulik.com/de/,Bremen,115156.0,No Match
BC Deutschland GmbH,https://www.beck-industries.com/,Hamm,802880.0,15-20
Hans Giesbert GmbH & Co. KG,https://www.giesbert.net/,Mömbris,970429.0,21-40
Bruder Spielwaren GmbH + Co.KG,https://www.bruder.de/,Fürth,7104028.0,200-350
ADAC Heliservice GmbH,https://www.alt-heliservice.de/,Sankt Augustin,70229.0,No Match
Westdeutsche Dochtfabrik GmbH & Co. KG,https://www.wedobraids.com/,Nettetal,1528166.0,60-80
AXTONE GmbH,https://axtoneglobal.com/,Neitersen,958028.0,21-40
Interbros GmbH,https://www.sunstarinterbros.com/,Schönau im Schwarzwald,10216462.0,350-600
Aufzugfabrik,https://www.windscheid.de/,Düsseldorf,503919.0,10-15
Friedrich Göhringer Elektrotechnik GmbH,https://www.ftg-germany.de/,Triberg im Schwarzwald,2792799.0,120-200
TESCOM EUROPE GmbH & CO. KG,https://www.emerson.com/de-de/automation/tescom,Selmsdorf,991382.0,21-40
Buchholz Hydraulik GmbH,https://buchholz-hydraulik.de/,Schwentinental,22807054.0,350-600
d-i davit international-hische GmbH,https://www.di-hische.de/,Sulingen,1243386.0,40-60
Schelchen GmbH,https://www.pedag.com/de/de,Königs Wusterhausen,109146.0,No Match
AGCO GmbH,https://fella.eu/,Feucht,182188.0,No Match
Müller & Meirer Lederwarenfabrik GmbH,https://muellermeirer.com/,Kirn,31454.0,No Match
Carnehl Fahrzeugbau,https://www.carnehl.eu/,Pattensen,209969.0,No Match
GOFA Gocher Fahrzeugbau GmbH,http://www.gofa.de/,Goch,408956.0,10-15
WesCom Signal and Rescue Germany GmbH,https://wescomdefence.com/,Bremerhaven,2492457.0,80-120
Vossloh Locomotives GmbH,https://www.vossloh-locomotives.com/,Kiel,5618423.0,200-350
