Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Mannstaedt GmbH,https://www.gmh-gruppe.de/de-de/,Troisdorf,37570526.0,350-600
Rolf Körner GmbH,https://www.rolfkoerner.de/,Niederzier,309580.0,10-15
Auerhammer Metallwerk GmbH,https://www.auerhammer.com/,Aue-Bad Schlema,4029804.0,120-200
Badische Drahtwerke GmbH,https://bdw-kehl.com/,Kehl,4636438.0,120-200
BRUGG German Pipe GmbH,https://www.bruggpipes.com/,Nordhausen,2722474.0,120-200
BRUGG Rohrsysteme GmbH,https://www.bruggpipes.com/,Wunstorf,4383198.0,120-200
BKB-Profiltechnik GmbH,https://www.bueltmann-gruppe.com/bueltmann-gruppe/bkb/,Sundern (Sauerland),102639.0,No Match
Betafence GmbH,https://www.betafence.de/de,Schwalmtal,216641.0,No Match
Chr. Höver & Sohn GmbH & Co. KG,https://www.hoever-sohn.com/,Lindlar,1251788.0,40-60
Hermann Klincke J. H. Sohn GmbH & Co. KG,https://www.claas-draht.de/,Altena,201155.0,No Match
Franken-Apparatebau GmbH,https://franken-apparatebau.de/,Oberhausen,1431136.0,40-60
KÖBO GmbH & Co. KG,https://www.koebo.com/,Wuppertal,105426.0,No Match
Haller Industriebau GmbH,https://haller.de/,Villingen-Schwenningen,1391007.0,40-60
Geisselmann GmbH,https://www.geisselmann.de/de/,Freiberg am Neckar,126373.0,No Match
Kimmel GmbH & Co. KG,https://www.kimmel-metall.de/startseite.html,Simbach,1976084.0,80-120
Deutsche Nickel GmbH,https://www.deutsche-nickel.de/,Schwerte,4158819.0,120-200
Dillenberg GmbH & Co. KG,https://www.dilco.de/,Düsseldorf,1811416.0,80-120
Quadrus Metalltechnik GmbH,https://www.quadrus.de,Schmidgaden,5750589.0,200-350
Dossmann GmbH,https://www.dossmann-eisengiesserei.de/,Walldürn,2731024.0,120-200
DWK Drahtwerk Köln GmbH,http://www.dwk-koeln.de/dwk/de/home/index.shtml,Köln,6161527.0,200-350
Röhrenwerk Kupferdreh Carl Hamm GmbH,https://carlhamm.de/,Essen,904507.0,21-40
Welser Profile Deutschland GmbH,https://www.welser.com/,Bönen,17602389.0,350-600
Ervin Germany GmbH,https://www.ervin.eu/,Sprockhövel,10530164.0,350-600
EZM Edelstahlzieherei Mark GmbH,https://www.ezm-mark.de/,Wetter (Ruhr),4489691.0,120-200
Butting Könnern GmbH,https://www.butting.com/de/standorte/butting-koennern,Könnern,4071266.0,120-200
Filigran Trägersysteme GmbH & Co. KG,https://www.filigran.de/de,Leese,3057633.0,120-200
