Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Schleswiger Tauwerkfabrik,https://www.oellerking.gmbh/index.php/de/,Schleswig,1240611.0,40-60
Gerhard van Clewe GmbH & Co KG,https://www.van-clewe.de/,Hamminkeln,3904837.0,120-200
Intercord Thüringen GmbH,https://www.intercord-gmbh.com/top,Mühlhausen/Thüringen,1284538.0,40-60
SETEX-Textil-GmbH,https://www.setex.de/de/,Hamminkeln,5100831.0,200-350
Getzner Textil Weberei GmbH,https://www.getzner.at/,Gera,20020596.0,350-600
BNP Brinkmann GmbH & Co. KG,https://bnp-brinkmann.de/,Hörstel,3446512.0,120-200
Filzfabrik Wurzen GmbH,https://www.filzfabrik-wurzen.de/,Wurzen,971712.0,21-40
Schneiderfilz Schneider Gmbh & Co. KG,https://www.schneiderfilz.de/,Ettlingen,1250459.0,40-60
Junkers & Müllers GmbH,https://www.jm-techtex.com/,Mönchengladbach,9200698.0,200-350
Schwarzwälder Textil-Werke,https://stw-faser.de/de/unternehmen/,Schenkenzell,3258029.0,120-200
GKD - Gebr. Kufferath AG.,https://www.gkd-group.com/de-de/,Düren,13584577.0,350-600
Polyvlies Franz Beyer GmbH,http://www.polyvlies.de/,Hörstel,12599570.0,350-600
Ploucquet GmbH,http://tection.ploucquet.eu/de/contact/,Zittau,1198268.0,21-40
Amann & Söhne GmbH & Co. KG,https://www.amann.com/,Bönnigheim,2776976.0,120-200
Wilhelm Kneitz AG Textilwerke,http://www.kneitz.de/unternehmen/,Wirsberg,1818839.0,80-120
Gebr. Otto Baumwollfeinzwirnerei GmbH,https://www.otto-garne.com,Dietenheim,1775912.0,60-80
TWE Vliesstoffwerke GmbH & Co. KG,https://www.twe-group.com/,Emsdetten,1302626.0,40-60
Huesker Synthetic GmbH,https://www.huesker.de/,Gescher,3506526.0,120-200
Gruschwitz Textilwerke AG,https://www.gruschwitz.com/de/,Leutkirch im Allgäu,1681631.0,60-80
Penn Textile Solutions GmbH,https://www.penn-ts.com/,Paderborn,1863188.0,80-120
Sturm Handelsgesellschaft mbH,https://www.miltec.de/,Rottenburg am Neckar,54071.0,No Match
Lindenfarb Textilveredlung,https://lindenfarb.de/,Aalen,1708721.0,60-80
Wagenfelder Spinnereien GmbH,https://www.wagenfelder-spinnereien.de/,Wagenfeld,72756.0,No Match
YKK Stocko Fasteners GmbH,https://stocko-ykk.de/,Wuppertal,6796367.0,200-350
J.G. KNOPF'S SOHN GmbH & Co. KG,https://www.knopfsohn.de/,Helmbrechts,4364061.0,120-200
Heinrich Glaeser Nachf. GmbH,https://www.glaeser-textil-ulm.de/,Ulm,1429251.0,40-60
Zwickauer Kammgarn GmbH,https://www.zks-kammgarn.de/de/,Wilkau-Haßlau,1270073.0,40-60
The FilamentFactory GmbH,https://thefilamentfactory.de/engineered-rubberized-goods/,Bad Hersfeld,2790449.0,120-200
NOON GmbH,https://www.noon-gmbh.de/,Limbach-Oberfrohna,2112881.0,80-120
Märkische Faser GmbH,https://www.maerkische-faser.com/start/,Premnitz,2618468.0,120-200
XENTRYS Leuna GmbH,https://www.domochemicals.com/de,Leuna,20947384.0,350-600
Richter Färberei- und Ausrüstungs GmbH,https://www.suedwollegroup.com/rifa/de/,Stadtallendorf,1578489.0,60-80
PONGS GROUP GmbH & Co. KG,https://www.pongs.com/,Düsseldorf,4479643.0,120-200
Delcotex Delius Techtex GmbH & Co. KG,https://delcotex.de/de/,Bielefeld,1269015.0,40-60
Fibertex Personal Care AG,https://fibertexpersonalcare.com/innowoprint/areas-of-expertise/InnowoPrint,Ilsenburg (Harz),5832786.0,200-350
Gebr. Röders AG,https://www.roeders-textiles.com/,Soltau,2543579.0,120-200
Filament-Technik Gesellschaft,https://www.filament-technik.de/,Baesweiler,668321.0,10-15
Silent Gliss Fabrics & Components GmbH,https://www.silentgliss.de/,Weil am Rhein,113660.0,No Match
Hemmers/Itex Textil Import Export GmbH,https://www.textilhemmers.de,Nordhorn,169768.0,No Match
TEXTUM GmbH,https://www.textum-stoffe.com,Bünde,35341.0,No Match
