Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Refratechnik Ceramics GmbH,https://www.refra.com/de/Refratechnik-Ceramics/,Melle,1668858.0,60-80
IMERYS ZSCHORNEWITZ GmbH,https://www.imerys.com/,Gräfenhainichen,3163835.0,120-200
Minteq International GmbH,http://www.minteq.de/,Duisburg,1268324.0,40-60
Elektrokeramik Sonneberg GmbH,https://www.ppcinsulators.com/,Sonneberg,1666735.0,60-80
Dörentrup Feuerfestprodukte,https://www.doerentrup-feuerfest.de/,Dörentrup,1586506.0,60-80
CERA SYSTEM Verschleißschutz GmbH,https://www.cerasystem.de/,Hermsdorf,1888534.0,80-120
Porzellanfabrik Hermsdorf GmbH,https://www.pofahermsdorf.de/,Hermsdorf,3303484.0,120-200
Morgan Advanced Materials,https://www.morgantechnicalceramics.com/en-gb/products/haldenwanger-products/,Waldkraiburg,5211855.0,200-350
Sigmund Lindner GmbH,https://www.sili.eu/,Warmensteinach,2389347.0,80-120
HAGENBURGER Feuerfeste Produkte GmbH,http://www.hagenburger-feuerfest.de/,Grünstadt,350153.0,10-15
VGT-DYKO GmbH,https://vgt-dyko.com/,Großalmerode,2063133.0,80-120
Morgan Molten Metal Systems GmbH,https://www.morganmms.com/,Berkatal,3132632.0,120-200
