Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Sanetta,https://www.sanetta.de/,Meßstetten,460320.0,10-15
Country Line Trachtenmoden GmbH,https://www.country-line.de/,Mühldorf a. Inn,134452.0,No Match
erima GmbH,https://www.erima.de/de/,Pfullingen,9569277.0,200-350
Klaus Herding GmbH,https://herding-textiles.com/,Rhede,306654.0,10-15
WEITBLICK GmbH & Co. KG,https://www.weitblick.vision,Kleinostheim,696422.0,10-15
Friedrich W. Schneider GmbH & Co. KG,https://stetson-europe.com/,Köln,134586.0,No Match
monari GmbH,https://monari.de/,Gronau (Westf.),327349.0,10-15
Forbo Siegling GmbH,https://www.forbo.com/movement/de-de/,Hannover,2918405.0,120-200
L-SHOP-TEAM GmbH,https://shop.l-shop-team.de/,Dortmund,2408781.0,80-120
SETEX-Textil-GmbH,https://www.setex.de/de/,Hamminkeln,2332623.0,80-120
Rofa Bekleidungswerk GmbH & Co KG,https://www.rofa.de/,Schüttorf,341627.0,10-15
Falk & Ross Group Europe GmbH,https://www.falk-ross.eu/,Sembach,4302368.0,120-200
CASAMODA,https://www.casamoda.com/,Oldenburg (Oldenburg),4139037.0,120-200
Zweigart & Sawitzki GmbH & Co. KG,https://www.zweigart.de/,Sindelfingen,1191671.0,21-40
Lederfabrik Josef Heinen GmbH & Co KG,http://www.heinen-leather.de/,Wegberg,1384128.0,40-60
Work in Progress Textilhandels GmbH,https://www.carhartt-wip.com/de,Weil am Rhein,61610.0,No Match
Canda International GmbH & Co. OHG,,Essen,38563.0,No Match
HAKRO GmbH,https://www.hakro.com/de,Schrozberg,1546750.0,60-80
Schümer Textil GmbH,https://schuemer.de/,Schüttorf,390447.0,10-15
Textilveredelung Edgar Kunz,https://edgarkunz.de/,Aschaffenburg,215094.0,No Match
ALBERTO GmbH & Co. KG,https://www.alberto-pants.com/,Mönchengladbach,40247.0,No Match
Verseidag-Indutex GmbH,https://www.verseidag.de/de,Krefeld,6172643.0,200-350
Ferd. Hauber GmbH,https://haubergroup.de/,Nürtingen,100715.0,No Match
Rabe Moden GmbH,https://rabefashion.com/de-de/,Hilter am Teutoburger Wald,63784.0,No Match
Stooker Brands GmbH,https://www.stookerbrands.de/de/,Syke,71932.0,No Match
Albani Group GmbH & Co. KG,https://www.albani-group.com/,Augsburg,322524.0,10-15
Paul H. Kübler Bekleidungswerk,https://www.kuebler.eu/,Plüderhausen,707084.0,15-20
ETV EING TEXTIL-VEREDLUNG GmbH & Co. KG,https://etv-veredlung.de/,Gescher,1748104.0,60-80
Willax GmbH Bekleidungswerk,https://willax.com/,Beilngries,31576.0,No Match
LODEN-FREY Verkaufshaus GmbH & Co. KG,https://www.lodenfrey.com/,München,24187.0,No Match
Marc Aurel Textil-GmbH,https://www.marc-aurel.com/,Gütersloh,20053.0,No Match
Landes Lederwarenfabrik GmbH,http://www.landes.de/,Isny im Allgäu,341916.0,10-15
Mattes & Ammann GmbH & Co. KG,https://www.mattesammann.de/index.php/mattes-ammann-2.html?language=de,Meßstetten,3689450.0,120-200
GREIFF-Mode GmbH & Co. KG,https://greiff.de/,Bamberg,183256.0,No Match
SAATI Deutschland GmbH,https://www.saati.com/en/contacts,Raesfeld,2464896.0,80-120
Gustav Ernstmeier GmbH & Co. KG,https://www.ernstmeier.de/,Herford,3926069.0,120-200
RoFa-Moden Faller GmbH & Co.,https://rofafashiongroup.de/home.html,Werbach,72784.0,No Match
Friedrich Stark GmbH & Co. KG,https://www.starkhosen.de/,Obersontheim,65891.0,No Match
STFG Filamente GmbH,http://www.stfg-rudolstadt.com/,Rudolstadt,6309056.0,200-350
Willy Maisel GmbH,https://www.world-of-textiles.com/,Konradsreuth,1331373.0,40-60
pro4tex GmbH,http://www.pro4tex.de/,Niederfrohna,8816672.0,200-350
Dr. Günther Kast GmbH & Co. Technische,https://www.kast.de/,Sonthofen,1278366.0,40-60
KLAUS MODELLE KM,http://www.klausmodelle.de/,Pforzheim,251943.0,No Match
SML (Central Europe) GmbH,http://www.sml.com/,Mettmann,209093.0,No Match
car i.t.a. GmbH & Co. KG,https://www.car-ita.net/de/startseite.html,Kirkel,1560406.0,60-80
MAPROM GmbH,https://maprom.de/,Höxter,760409.0,15-20
Lana Grossa Mode mit Wolle,https://www.lana-grossa.de/,Gaimersheim,35100.0,No Match
Versace Deutschland GmbH,https://www.versace.com/de/de-de/home/,Frankfurt am Main,193042.0,No Match
A & R Textilproduktion GmbH,https://www.ar-textil.de,Neukirch,889159.0,15-20
DARPDECADE GmbH & Co. KG,https://vinokilo.com/,Bodenheim,113116.0,No Match
