Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
a.i.m. all in metal GmbH,https://alles-in-metall.de/,Pockau-Lengefeld,11811006.0,350-600
W.H. Augenstein GmbH,https://www.stanzteile-augenstein.de/de/,Keltern,917628.0,21-40
Bacher GmbH Metallverarbeitung,https://bacher-gmbh.de/,Bad Feilnbach,1999136.0,80-120
Heimberger GmbH,https://www.heimberger.de/,Oberderdingen,4288577.0,120-200
Agathon GmbH & Co. KG,https://www.agathon-moulds.com/de/,Bottrop,2982542.0,120-200
Alfred Konrad Veith GmbH &Co. KG,https://veith-kg.de/,Öhringen,1034299.0,21-40
ASTOR Schneidwerkzeuge GmbH,https://www.astorblades.de/,Storkow (Mark),1162959.0,21-40
Braunform GmbH,https://www.braunform.com/de/,Bahlingen am Kaiserstuhl,9877906.0,200-350
CONCAD GmbH,https://www.concad-gmbh.de/,Walldürn,61891.0,No Match
Meissner AG Modell- und Werkzeugfabrik,https://www.meissner.eu/,Biedenkopf,1052341.0,21-40
Carl Hilzinger-Thum GmbH & Co. KG,https://www.hilzinger-thum.de/,Tuttlingen,2968645.0,120-200
ACTech GmbH,https://www.actech.de/de/rapid-prototyping-guss,Freiberg,7232946.0,200-350
August Beck GmbH & Co. KG,https://beck.mapal.com/de-de/,Winterlingen,2319138.0,80-120
BKM Präzisionswerkzeuge,https://www.bkm-praezision.de/,Schwabach,1161611.0,21-40
AWEBA Werkzeugbau GmbH Aue,https://www.aweba.de/,Aue-Bad Schlema,3602749.0,120-200
Christian Dunkel GmbH,https://www.werkzeugbau-dunkel.de/,Berlin,903650.0,21-40
Ebmeyer Werkzeugbau GmbH,https://www.ebmeyer.eu/,Gütersloh,467343.0,10-15
HAVLAT Präzisionstechnik GmbH,https://www.havlat.de/,Zittau,8728713.0,200-350
Color Metal GmbH,https://www.color-metal.de/,Heitersheim,4162319.0,120-200
TKW Molding GmbH,https://www.tkw-molding.com/,Blankenhain,2904248.0,120-200
Finke Formenbau GmbH,https://www.finke-formenbau.de/,Altenbeken,1343852.0,40-60
FKT Formenbau und Kunststofftechnik GmbH,http://www.fkt-triptis.de/,Triptis,1303880.0,40-60
FMF-WWF Werkzeug- und Prototypenbau GmbH,https://www.fmf-wwf.de/,Hardthausen am Kocher,1807594.0,80-120
SULO Metall Systeme GmbH,https://sulo.de/,Stadtlohn,438648.0,10-15
Ernst Klimmer,https://www.klimmer-gmbh.de,Burgau,200085.0,No Match
Heckler Aktiengesellschaft,https://www.heckler.de/,Niefern-Öschelbronn,5080464.0,200-350
heimatec GmbH,https://heimatec.com/,Renchen,2564313.0,120-200
Technolit GmbH,https://eshop.technolit.de/de_de/,Großenlüder,267890.0,No Match
MECO Maschinen-Elektro-Companie GmbH,http://www.meco-werkzeugbau.de/,Waldershof,1916357.0,80-120
Helmut Diebold GmbH & Co.,https://www.hsk.com/,Jungingen,1405749.0,40-60
Johannes Meier Werkzeugbau GmbH,https://www.jmw-werkzeugbau.de/,Hövelhof,2704537.0,120-200
Heinz Schwarz GmbH & Co. KG,https://www.schwarz-werkzeugbau.de/,Preußisch Oldendorf,3171553.0,120-200
Horst Scholz GmbH & Co. KG,https://www.scholz-htik.de/,Kronach,383039.0,10-15
Mürdter Metall-,https://muerdter.de/de/,Mutlangen,334905.0,10-15
Neuhaus Metallproduktions-GmbH,https://www.neuhaus-metall.de/,Arnsberg,3562750.0,120-200
Jakob Lach GmbH & Co. KG,https://www.lach-diamant.de/,Hanau,887185.0,15-20
Werkzeug- und Gerätebau Klingenthal GmbH,https://www.wgb.de/uebersicht.html,Klingenthal,1804039.0,80-120
PWG Profilrollen-Werkzeugbau GmbH,https://www.pwgnet.net/,Föritztal,5036830.0,200-350
Klaus Baier Werkzeugbau und Stanztechnik,http://www.klausbaier.de/,Pfronten,1142940.0,21-40
Lahnwerk GmbH,https://www.lahnwerk.de/,Biedenkopf,1953568.0,80-120
Herbert Kaut GmbH & Co. KG,http://www.kaut.info,Sigmaringen,631228.0,10-15
SAV GmbH,https://www.sav.de/de/,Nürnberg,543908.0,10-15
G - ELIT Präzisionswerkzeug-GmbH,https://g-elit.de/,Berlin,3540040.0,120-200
Manfred Albrecht GmbH,https://www.albrecht-solingen.de/,Solingen,893500.0,15-20
Christian Karl Siebenwurst,https://siebenwurst.de/,Dietfurt an der Altmühl,2439169.0,80-120
Spinner Werkzeugmaschinenfabrik GmbH,https://www.spinner.eu.com/,Sauerlach,2981925.0,120-200
Maucher Formenbau GmbH & Co. KG,https://www.maucher-kg.de/,Meckenbeuren,2507129.0,120-200
WOLF Werkzeugtechnologie GmbH,https://www.wolf-gruppe.com/,Bruchmühlbach-Miesau,3601846.0,120-200
Paul Hafner GmbH Werkzeugbau,https://www.paul-hafner.de/,Wellendingen,38200.0,No Match
EWM AG,https://www.ewm-group.com/de/,Mündersbach,174193.0,No Match
MHT Mold & Hotrunner Technology AG,https://www.mht-ag.de/,Hochheim am Main,479408.0,10-15
AKO - Kunststoffe Alfred Kolb GmbH,https://www.ako-kolb.de/de/index.php,Sinsheim,24878.0,No Match
Modell Technik Formenbau GmbH,https://www.modelltechnik.com/,Sömmerda,3013673.0,120-200
Modell- und Formenbau Blasius Gerg GmbH,http://www.gerg.de/,Tuntenhausen,12280898.0,350-600
Modellbau Schönheide GmbH,https://www.mbschoenheide.de/de,Schönheide,3108114.0,120-200
Bharat Forge Daun GmbH,https://www.bf-daun.de,Daun,2768665.0,120-200
CERATIZIT Deutschland GmbH,http://www.ceratizit.com/,Empfingen,5380865.0,200-350
Müller Modell- und Formenbau,http://www.mueller-wallau.de/,Biedenkopf,3745944.0,120-200
MWS Schneidwerkzeuge GmbH & Co KG,https://www.mendritzki.de/,Schmalkalden,4208102.0,120-200
Krämer + Grebe GmbH & Co. KG Modellbau,https://kraemer-grebe.de/,Biedenkopf,2463087.0,80-120
KOMET Deutschland GmbH,https://cuttingtools.ceratizit.com/de/de/komet-redirect.html,Besigheim,13677021.0,350-600
Siegfried Hofmann GmbH,https://www.hofmann-impulsgeber.de/,Lichtenfels,6790933.0,200-350
Preßwerkzeugbau Großdubrau GmbH,http://www.pwb-online.de/,Großdubrau,3286029.0,120-200
Bilz Werkzeugfabrik GmbH & Co. KG,https://www.bilz.de/,Ostfildern,639468.0,10-15
PSM Protech GmbH & Co. KG,https://www.psm-protech.com/,Marktschellenberg,952669.0,21-40
MEBA-Metall- Bandsägemaschinen GmbH,https://meba-saw.com/,Westerheim,1124202.0,21-40
TRIBO Hartstoff GmbH,https://www.tribo.de/de/Tribo,Barchfeld-Immelborn,8498667.0,200-350
Amberger Werkzeugbau GmbH,https://www.ambergerwerkzeugbau.de/,Sulzbach-Rosenberg,1249112.0,40-60
WTE Präzisionstechnik GmbH,https://wte.mapal.com,Ehrenfriedersdorf,2013332.0,80-120
SCHEUERMANN + HEILIG GmbH,https://www.sh-gmbh.de/,Buchen (Odenwald),7660199.0,200-350
Dienes Werke für Maschinenteile,https://www.dienes.de/,Overath,1500756.0,60-80
SD Automotive GmbH,https://www.sd-automotive.de/,Georgsmarienhütte,2732554.0,120-200
Seco Tools GmbH,https://www.secotools.com/,Erkrath,512113.0,10-15
Frielinghaus GmbH,https://www.frielinghaus.de/,Ennepetal,2660959.0,120-200
INGERSOLL Werkzeuge GmbH,https://www.ingersoll-imc.de/,Haiger,8339516.0,200-350
ISCAR Germany GmbH,https://www.iscar.de/index.aspx/countryid/7,Ettlingen,1299896.0,40-60
Neuhäuser Präzisionswerkzeuge GmbH,https://www.neuhaeuser-controx.de/,Prüm,527475.0,10-15
Postel Druckguß GmbH,http://www.postel.de/,Köln,1655133.0,60-80
Kremann und Esser GmbH & Co. KG,https://www.kremann-esser.de/,Kierspe,2239275.0,80-120
Josef Weischer GmbH & Co. KG,https://www.weischer.de/,Emsdetten,1711030.0,60-80
Tillmann Werkzeugbau Profiltechnik GmbH,https://tillmann-gruppe.de/de/start/,Arnsberg,4047222.0,120-200
Klaus Backes GmbH,http://www.backesgmbh.de/,Bruchmühlbach-Miesau,294882.0,No Match
Wilke Werkzeugbau GmbH,http://www.wilke-tec.com/,Wuppertal,1671830.0,60-80
Wirth Werkzeugbau GmbH,https://werkzeugbau-wirth.de/,Helmbrechts,2965296.0,120-200
WEBO Werkzeugbau Oberschwaben GmbH,http://www.webo.de.com/,Amtzell,3812632.0,120-200
S. Müller GmbH & Co. Werkzeugbau KG.,http://www.wzb-mueller.de/,Neunkirchen-Seelscheid,297435.0,No Match
Schneider Form GmbH,https://www.schneider-form.de/,Dettingen unter Teck,3209100.0,120-200
Eckerle GmbH,https://eckerle-gmbh.de/,Beilngries,985131.0,21-40
WELLGO Gerätetechnik GmbH,https://www.wellgo.de/,Nohfelden,1461530.0,40-60
pro forma - Leistungen,https://www.proforma-concept.de/,Radeburg,3572543.0,120-200
Wink Stanzwerkzeuge GmbH & Co. KG,https://www.wink.de/de.html,Neuenhaus,7409330.0,200-350
Wissler & Rademacher GmbH & Co. KG,https://www.wissler-rademacher.de,Velbert,1855228.0,80-120
BMI Technical Services GmbH,https://www.bmigroup.com/,Oberursel (Taunus),2100361.0,80-120
Pfarr - Stanztechnik GmbH,https://pfarr.de/de/,Buttlar,6121159.0,200-350
Wohlhaupter GmbH,http://www.wohlhaupter.de/home/,Frickenhausen,1707261.0,60-80
hapema GmbH,https://www.hapema-gmbh.de,Engelsbrand,499396.0,10-15
Zeltwanger Maschinenbau GmbH,https://www.zeltwanger.de/,Tübingen,569919.0,10-15
Stolz & Seng,https://stolz-seng.de/,Donaueschingen,1081113.0,21-40
Zimmermann Formenbau GmbH,https://ziform.de/,Gladenbach,3533034.0,120-200
