Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Paul Bippus GmbH & Co. KG,https://www.bippus.de/,Oberndorf am Neckar,40552109.0,350-600
Robert Schröder GmbH & Co. KG,https://www.robert-schroeder.de/,Wuppertal,1208325.0,40-60
Dressler Metallverarbeitung GmbH,https://www.dressler-cnc.de/,Langenenslingen,6138940.0,200-350
Auch Präzisionsdrehteile GmbH & Co. KG,http://www.auch-gmbh.de/,Stuttgart,1298219.0,40-60
Schubert Fertigungstechnik GmbH,http://www.schubert-fertigungstechnik.de/,Bartholomä,4498373.0,120-200
toolcraft AG,https://www.toolcraft.de/,Georgensgmünd,11277731.0,350-600
H.P. Kaysser GmbH + Co. KG,https://www.kaysser.de/,Leutenbach,10199838.0,350-600
AMA,https://www.ama-zerspanungstechnik.de/,Amberg,2795594.0,120-200
Kreyenberg GmbH,https://kreyenberg.eu/,Norderstedt,4140503.0,120-200
CNC - Technik Mack GmbH & Co. KG,https://www.cnc-mack.de/,Dornstadt,8163797.0,200-350
MEYER Drehtechnik GmbH,https://www.meyer-drehtechnik.de/,Marienberg,689419.0,10-15
Avermann-Laser- und Kant-Zentrum GmbH,https://www.avermann.eu/,Amt Wachsenburg,985873.0,21-40
WSE-CNC Technologie GmbH,https://www.wse-cnc.com/,Hutthurm,2871431.0,120-200
Schmidt Automotive GmbH,http://schmidt-cnc.de/,Westhausen,19722553.0,350-600
Voigt Systemtechnik GmbH,https://www.voigt-systemtechnik.de/,Großbreitenbach,2522972.0,120-200
GLA-WEL GmbH,https://gla-wel.de/,Melle,593223.0,10-15
Kratzer GmbH & Co. KG,https://www.kratzer.de/de/,Offenburg,9667779.0,200-350
IFSYS Integrated Feeding Systems GmbH,http://www.ifsys.eu/,Großbardorf,428481.0,10-15
Zentner Elektrik - Mechanik GmbH,https://www.zentner.de/,Freiburg im Breisgau,204480.0,No Match
Hommel GmbH,https://www.hommel-gruppe.de/,Köln,116355.0,No Match
Kurze GmbH,https://www.kurze-gmbh.de/,Spelle,5728090.0,200-350
Zerspanungs- und Systemtechnik GmbH,https://zso.de/,Oberstaufen,4910477.0,120-200
Klumpp GmbH & CO. KG,https://www.klumpp-gmbh.de/de/,Bretten,12722283.0,350-600
Klumpp Präzisionswerk GmbH & Co. KG,https://www.klumpp-gmbh.de/de/,Pößneck,7657273.0,200-350
Seeger Präzisionsdrehteile GmbH,https://www.seeger-salem.de/,Salem,4924401.0,120-200
NSI Präzisionsdrehteile GmbH,https://www.nsi-precision.de/,Lörrach,4926515.0,120-200
Hase GmbH,https://www.hase-gmbh.de/,Trier,2398566.0,80-120
Berlin Millhouse GmbH,https://www.berlin-millhouse.de/,Berlin,963116.0,21-40
PROTEC GMBH ZERSPANUNGSTECHNIK,http://protec-zerspanung.de,Haslach im Kinzigtal,2928197.0,120-200
