company_name,sachanlagen,table_name,is_teuro
COIL GmbH,14380414,Aktiva,False
Aluminium Oxid Stade GmbH,89634071,Aktiva,False
Richter Aluminium GmbH,16461750,Aktiva,False
Aluminiumwerk Unna Aktiengesellschaft,31122021,Aktiva,False
BE-Aluschmiede GmbH,6789854,Aktiva,False
FERTINGER TUBES GmbH,16526876,Anlagevermögen,False
Alpha Metall GmbH,606322,Aktiva,False
Hydro Aluminium Gießerei Rackwitz GmbH,8824221,Aktiva,False
Aluminium-Werke Wutöschingen AG & Co. KG,26939974,Aktiva,False
Weseralu GmbH & Co. KG,17386358,Aktiva,False
MWS Friedrichshafen GmbH,11166783,Aktiva,False
AluTec GmbH,1620567,Aktiva,False
Gerhardi AluTechnik GmbH,537352,Aktiva,False
Rheinfelden Alloys GmbH & Co. KG,9626739,Anlagevermögen,False
