company_name,sachanlagen,table_name,is_teuro
Haslach Group GmbH,4438300,Aktiva,True
Stickel GmbH Blech - Umformtechnik,9787009,Aktiva,False
Sturm Blechverarbeitung GmbH,2128072,Aktiva,False
Hofmann GmbH,994378,Aktiva,False
Neumaier Industry GmbH & Co. KG,549854,Aktiva,False
KUIPERS technologies GmbH,13850167,Aktiva,True
Eirenschmalz Maschinenbaumechanik,7901081,Aktiva,False
Teckentrup GmbH + Co. KG,10937167,Aktiva,True
KMK Metalltechnik GmbH,625475,Aktiva,False
Henke GmbH,3003810,Aktiva,False
Schwalbe Metallbau GmbH,734199,Aktiva,False
MVK Blech- und Metallverarbeitung,1439648,Aktiva,False
Ziegler GmbH,4158946,Aktiva,False
R. Mannhardt GmbH,7923986,Anlagenspiegel zum 31.12.2021,False
Walter Th. Hennecke GmbH,4112067,Aktiva,False
Witzenmann-Speck GmbH,2262142,Anlagevermögen,False
Walter König GmbH,1807759,Aktiva,False
Schulz Fördersysteme GmbH,39156,Aktiva,False
Wilhelm Honebein,695610,Aktiva,False
Purkart Systemkomponenten GmbH,1924842,Aktiva,False
KWL Blechverarbeitungs GmbH,4666725,Aktiva,True
Ludwig Michl Apparate- Geräte-,4432423,Aktiva,False
Omega Blechbearbeitung Holding AG,132915,Aktiva,False
Scheideler GmbH & Co KG,5121485,Aktiva,False
Weisshaar GmbH & Co. KG,8598105,Aktiva,False
W. B. Metallverarbeitung-Service,23288,Aktiva,False
Erich Grau GmbH,3458460,Aktiva,False
BVS-Blechtechnik GmbH,1551866,Aktiva,False
RMIG GmbH,9455966,Aktiva,False
Stork GmbH & Co. KG,3544199,Aktiva,False
WWS Metallformen GmbH,2287398,Aktiva,False
Hombach Wärmetechnik GmbH,4420768,Aktiva,False
Karl Enghofer GmbH & Co. KG,5424832,Aktiva,False
Hoedtke Kiel GmbH & Co. KG,3672288,Aktiva,False
Hadrian GmbH & Co. Metall- und,7831574,Aktiva,False
B & S Blech mit System GmbH & Co. KG,1723750,Aktiva,False
LASER Bearbeitungs-,26903180,Aktiva,False
Ludwig Schierer,31317,Aktiva,False
MEVACO GmbH,13340666,Aktiva,False
Göcke GmbH & Co. KG,10973615,Aktiva,False
WKF-GmbH Metallwarenfabrik,3595424,Aktiva,False
KODA Stanz- und Biegetechnik GmbH,4508095,Aktiva,False
Feinwerktechnik hago GmbH,145312973,Anlagevermögen,False
Wieland Eucaro GmbH,6476448,Aktiva,True
Vosseler GmbH,2519244,Aktiva,False
de Crignis Blechverarbeitung GmbH,3504468,Aktiva,False
Rime GmbH,7735541,Aktiva,False
SCHRÖTER GmbH + Co. KG Metallwarenfabrik,1078465,Aktiva,False
Kreck Metallwarenfabrik GmbH,2594530,Aktiva,False
EPflex Feinwerktechnik GmbH,6789603,Aktiva,False
Hennig GmbH,782702,Aktiva,False
UFT Produktion GmbH,7687543,Aktiva,True
WECUBEX GmbH,74207,Aktiva,False
Wilhelm Becker GmbH & Co. KG,3887868,Aktiva,False
S & D Blechtechnologie GmbH,1566451,Aktiva,False
Hoedtke GmbH & Co. KG,7396807,Aktiva,False
