company_name,sachanlagen,table_name,is_teuro
Ritter_Leichtmetallguss_GmbH,5325573,Aktiva,False
Gebhardt_-_Stahl_-_GmbH,11656398,Aktiva,False
Karl_Buch_Walzengiesserei_GmbH_and_Co._KG,5602824,Aktiva,False
Zucker_Edelstahlschmiede_GmbH,1281660,Aktiva,False
Saar-Hartmetall_und_Werkzeuge_GmbH,3442408,Aktiva,False
von_Schaewen_GmbH,85282945,Aktiva,False
R.A.B.S._Balkonbau_GmbH,901222,Aktiva,False
GOT_Godesberg_Oberflaechentechnik_GmbH,12221,Aktiva,False
Mittelrheinische_Metallgiesserei,510366,Aktiva,False
Klaus_Kuhn_Edelstahlgiesserei_GmbH,15720158,Aktiva,False
Woehrle_GmbH_and_Co._KG,8868210,Aktiva,True
Siebfabrik_Arthur_Maurer_GmbH_and_Co._KG,1339465,Aktiva,False
Metallguss_Sulingen_GmbH,780152,Aktiva,False
IBF_Industrielle_Blechfertigung_GmbH,2225500,Aktiva,False
Richard_Stenzhorn_GmbH,5493687,Aktiva,False
MetallArt_GmbH,1873073,Aktiva,False
WW-K_Warmwalzwerk_Koenigswinter_GmbH,2812096,Aktiva,False
Dillenberg_GmbH_and_Co._KG,2677985,Aktiva,False
Max_Schoen_GmbH,673103,Aktiva,True
Rolf_Koerner_GmbH,554273,Aktiva,False
Emil_Keck_GmbH_and_Co._KG,56789,Aktiva,False
Welser_Profile_Deutschland_GmbH,80465296,Aktiva,False
Gebr._Grieshaber_GmbH,2118470,Aktiva,True
GWG_Gasflaschenwerk_Gruenhain_GmbH,8651061,Anlagevermögen,False
MICROMETAL_GmbH,0,N/A,False
Saar-Metallwerke_GmbH,1728402,Aktiva,False
Franken-Apparatebau_GmbH,1786814,Aktiva,False
Friedrich_Graepel_Aktiengesellschaft,903511,Aktiva,False
Wilhelm_Schwarz_and_Co._Bewehrungstechnik,2857660,Aktiva,False
BBV_Baustahl_und_Blechverarbeitungs-,83143,Aktiva,False
Mack_Alu-Systeme_GmbH,2769677,Aktiva,False
Lindemann_GmbH_and_Co._KG,2356925,Aktiva,False
KrampeHarex_GmbH_and_Co._KG,18691734,Aktiva,True
INMET_Stahl_GmbH_and_Co._KG,9078662,Aktiva,False
THIELE_GmbH_+_Co._KG,17954551,Anlagevermögen,False
Eisenwerk_Arnstadt_GmbH,2405220,Aktiva,True
PHILIPP_GmbH,1349787,Aktiva,False
Feinblech_Systeme_GmbH,569737,Aktiva,False
Saarschmiede_GmbH_Freiformschmiede,116264,Entwicklung des Anlagevermögens,True
Huesecken_Wire_GmbH,1381988,Aktiva,False
ZGG_-_Zeitzer_Guss_GmbH,40684184,Aktiva,False
TITAL_GmbH,36826727,Anlagevermögen,False
Georg_Group_GmbH,918178,Aktiva,False
Tittel_Drahtwaren_GmbH,358103,Aktiva,False
Sprint_Metal_Edelstahlziehereien_GmbH,1968613,Aktiva,False
G_ue_l_d_e_GmbH_and_Co_KG_Kaltwalzwerk,8695189,Aktiva,False
Vulcast_Germany_GmbH,1257355,Aktiva,False
Hermann_Klincke_J._H._Sohn_GmbH_and_Co._KG,4598311,Aktiva,False
PPM-Aberle_GmbH_and_Co_KG,5093218,Aktiva,False
Friedrich_Wolfarth_GmbH_and_Co._KG,645298,Aktiva,False
VTN_Witten_GmbH,17211,Aktiva,False
Chr._Hoever_and_Sohn_GmbH_and_Co._KG,6107210,Aktiva,True
Dorstener_Drahtwerke,2218737,Anlagevermögen,False
Geisselmann_GmbH,3364818,Aktiva,False
Brueck_GmbH,52498693,Aktiva,False
LSV_Lech-Stahl_Veredelung_GmbH,0,N/A,False
Droelle_GmbH,4999502,Anlagevermögen,False
LTI-Metalltechnik_GmbH,8475003,Aktiva,True
SIGMA_Beteiligungs-_und,4501512,Aktiva,False
FRIJNS_INDUSTRIAL_GROUP_GmbH,0,N/A,False
RSB_Rationelle,3584712,Aktiva,False
INOVA_Innovative_Gusserzeugnisse_GmbH,63460,Aktiva,False
Menk-Schmehmann_GmbH_and_Co._KG,3430000,Aktiva,True
KRS_-_SEIGERT_GmbH,18773599,Aktiva,False
Friedr._Lohmann_GmbH,18964184,Aktiva,False
Kemptener_Eisengiesserei_Adam_Hoenig_AG,4214257,Aktiva,False
P.G.S._Plettenberger_Gesenkschmiede_GmbH,8156055,Aktiva,False
Badische_Drahtwerke_GmbH,7865925,Aktiva,False
Welding_Alloys_Deutschland_GmbH,1480551,Aktiva,False
Doerrenberg_Edelstahl_GmbH,28949805,Aktiva,False
PAVOY_GmbH_Paul_van_Oyen_Fabrik_fuer,1451097,Aktiva,False
Reinhold_Mendritzki_Kaltwalzwerk_GmbH,40814884,Aktiva,False
Metallwerk_Sundern,3448183,Aktiva,True
WICKEDER_PROFILE_WALZWERK_GmbH,7876507,Aktiva,False
Marsberger_Metallguss_Gebr._Cordt_GmbH,9354,Aktiva,False
Nosta_GmbH,9752043,Aktiva,False
Kraemer_GmbH_Industriebehaelter,1940614,Aktiva,False
ChromStahl_Stahl-_und_Metallhandel_GmbH,3144534,Aktiva,True
M._Gleser_GmbH,262000,Aktiva,True
Sirch_Behaeltertechnik_GmbH,1692825,Aktiva,False
Carl_Stahl_GmbH,560259,Aktiva,False
"Stahl-_und_Drahtwerk_Roeslau,",9101726,Aktiva,False
TPS-Technitube_Roehrenwerke_GmbH,12644623,Aktiva,False
BRUGG_Rohrsysteme_GmbH,8949086,Aktiva,False
Auerhammer_Metallwerk_GmbH,7356073,Aktiva,False
SAINT-GOBAIN_PAM_Deutschland_GmbH,25163999,Aktiva,True
ESTA-Rohr-Gesellschaft_mbH,5214909,Aktiva,False
Rudolf_Flender_Rohr_GmbH,1965270,Aktiva,False
Koenig_and_Co._GmbH,19741627,Aktiva,False
Barth_Metallwerke_GmbH_and_Co._KG,448844,Aktiva,False
JAHN_GmbH,47308288,Aktiva,False
Koenig_Metall_GmbH_and_Co._KG,14276032,Aktiva,True
VAUTID_GmbH,1024173,Aktiva,False
CASAR_Drahtseilwerk_Saar_GmbH,16501138,Aktiva,False
Huentelmann_GmbH_and_Co._KG,8893,Aktiva,False
Steeltec_GmbH,17478000,Aktiva,True
WDM_Deutenberg_GmbH,6992070,Aktiva,False
Heuschkel_Druckguss_GmbH,249688,Aktiva,False
Fritz_Finkernagel_Drahtwerk,255,Aktiva,False
Albrecht_Zwick_GmbH,1350239,Aktiva,False
Mannstaedt_GmbH,58202936,Aktiva,True
Lebronze_Alloys_Germany_GmbH,9047372,Aktiva,False
Reinhard_Tweer_GmbH,5825792,Aktiva,False
B_and_F_Metallbautechnik_GmbH,3314699,Aktiva,False
Boedenpresswerk_Daaden_GmbH,4123213,Aktiva,False
DWK_Drahtwerk_Koeln_GmbH,10771000,Aktiva,True
Rudi_Goebel_GmbH_and_Co._KG,6151868,Aktiva,False
Edelstahlwerk_W._Ossenberg_and_Cie_GmbH,1427244,Aktiva,False
H._Hesse,12706534,Anlagevermögen,False
Hammerwerk_Erft,14347045,Aktiva,False
Heinz_Gothe_GmbH_and_Co._KG,2375046,Aktiva,True
HMS_Maass_GmbH_and_Co._KG,1124176,Aktiva,False
Kemper_GmbH,175485,Aktiva,False
Mueller_and_Borggraefe_GmbH,534453,Aktiva,False
Suedstahl_GmbH_and_Co._KG,5988973,Aktiva,False
SCHORISCH_Magis_GmbH,1985405,Aktiva,False
Energietechnik_Essen_GmbH,0,N/A,False
SAAR-BLANKSTAHL_GmbH,37555000,Aktiva,True
HandG_Produktion_und_Service_GmbH,1619450,Aktiva,False
Dillinger_Fabrik,4742714,Aktiva,False
Eugen_Geyer_GmbH,1754884,Aktiva,False
Busch_+_Kunz_GmbH_and_Co._KG,4816210,Aktiva,False
Weinmann_Aach_AG,498185,Aktiva,True
Heidenreich_and_Harbeck_GmbH,6569530,Aktiva,False
Schindler_Handhabetechnik_GmbH,2993728,Aktiva,True
Filigran_Traegersysteme_GmbH_and_Co._KG,7536000,AKTIVA,True
DGH_Heidenau_GmbH_and_Co._KG,15169128,Aktiva,False
Sumitomo_Electric_Hartmetallfabrik_GmbH,17878454,Aktiva,False
Josef_F._Filthaut_Bronzegiesserei_GmbH,275855,Aktiva,False
TRIDELTA_Hartferrite_GmbH,1058767,Anlagevermögen,False
AVIT-Hochdruck_Rohrtechnik_GmbH,2448264,Aktiva,False
Herold_and_Co._GmbH,2336507,Aktiva,False
PROGRESSIO_Feinblechtechnik_GmbH,424868,Aktiva,False
vR_production_(DUKTUS)_gmbh,19221000,Aktiva,True
Stahlhammer_Bommern_GmbH,5144121,Aktiva,False
Warmpresswerk_Max_B._Schachmann_GmbH,4548244,Aktiva,True
Gabarró_Deutschland_GmbH,12332469,Aktiva,False
Schmiedag_GmbH,12208865,Aktiva,True
WGM_Winter_Geraetebau,1884389,Aktiva,False
Senger_GmbH,259364,Aktiva,False
Spiess_GmbH,1189696,Aktiva,False
TUBE-TEC_Rohrverformungstechnik_GmbH,2990636,Aktiva,False
Gesellschaft_fuer_Wolfram-Industrie_mbH,1036241,Aktiva,False
GeisslerWista_GmbH,6516899,Aktiva,False
HBS_Hessische_Bewehrungsstahl_GmbH,718944,Aktiva,False
BKB-Profiltechnik_GmbH,489000,Aktiva,True
MSW_Moselstahlwerk_GmbH,683246,Aktiva,False
Kimmel_GmbH_and_Co._KG,2642373,Aktiva,False
Metallbau_Moeller_GmbH_and_Co_KG,1395852,Aktiva,False
Pleissner_Guss_GmbH,1125338,Aktiva,True
EEW-Pickhan_Umformtechnik_GmbH,3982570,Aktiva,False
Eisengiesserei_Neumarkt,345769,Aktiva,False
Hubl_GmbH,5897749,Aktiva,False
Gienanth_GmbH,15287565,Aktiva,False
Hagener_Feinstahl_GmbH,10000841,Aktiva,False
WiRoPa_GmbH,7534624,Aktiva,False
Mueller_Feinblechbautechnik_GmbH,3564638,Aktiva,False
Schmid_GmbH,8475551,Aktiva,False
Heibi-Metall_Birmann_GmbH,963434,Aktiva,False
Roehrenwerk_Kupferdreh_Carl_Hamm_GmbH,6489699,Aktiva,False
G._Schuerfeld_GmbH,11256642,Aktiva,False
METALL-KONTOR_GmbH_and_Co._KG,796000,Aktiva,True
Ernst_Strassacker_GmbH_and_Co._KG,5741732,Aktiva,True
Wilhelm_Schulte-Wiese,1647657,Aktiva,False
ABERLE_Stahlguss_GmbH,908040,Aktiva,False
Lintorfer_Eisengiesserei_GmbH,5169000,Aktiva,True
Rudolf_Wiegmann_Umformtechnik_GmbH,3699463,Aktiva,False
Stahlrump_GmbH_and_Co._KG,13544267,Aktiva,True
Butting_Koennern_GmbH,6910148,Aktiva,False
Dietermann_GmbH_and_Co_KG,2459360,Aktiva,True
EZM_Edelstahlzieherei_Mark_GmbH,6013976,Aktiva,False
Karl_Georg_GmbH,4636512,Aktiva,False
DK_Recycling_und_Roheisen_GmbH,30796703,Aktiva,False
Bucher_Metallbau_GmbH,627820,Aktiva,False
Schierle_Stahlrohre_GmbH_and_Co._KG,3526444,Aktiva,False
SHB_Stahl-_und_Hartgusswerk_Boesdorf_GmbH,4212004,AKTIVA,True
Otto_Junker_GmbH,249767,Aktiva,False
Bender-Ferndorf_Rohr_GmbH,3467835,Aktiva,False
Leonhard_Breitenbach_GmbH,679129,Aktiva,False
Sachsen_Guss_GmbH,29980755,Aktiva,False
