company_name,sachanlagen,table_name,is_teuro
Ackermann_and_Hertel_GmbH,1163991,Aktiva,False
PS_Werkzeuge_Vorrichtungen,2583235,Aktiva,False
C._and_E._FEIN_GmbH,10563,Aktiva,False
Mueller-Technik_GmbH,11471000,Aktiva,True
Kremann_und_Esser_GmbH_and_Co._KG,2877385,Aktiva,False
HEMA,1675888,Aktiva,False
Helmut_Diebold_GmbH_and_Co.,1936088,Aktiva,False
Zetterer_Praezision_GmbH,2390346,Aktiva,False
UBC_Composites_GmbH,630196,Aktiva,False
Schneider_Form_GmbH,3209100,Aktiva,True
Hippold_GmbH,5211478,Aktiva,False
Maucher_Formenbau_GmbH_and_Co._KG,7354058,Aktiva,False
Siebenwurst_Werkzeugbau_GmbH,8065296,Anlagevermögen,True
a.i.m._all_in_metal_GmbH,69727191,AKTIVA,False
C._HOHAGE_GmbH_and_Co._KG,1631028,Aktiva,False
Frielinghaus_GmbH,3410511,Aktiva,True
ISCAR_Germany_GmbH,1825000,Aktiva,True
Pfletschinger_and_Gauch_Betriebs-GmbH,482923,Aktiva,False
SAINT-GOBAIN_Diamantwerkzeuge_GmbH,6744833,Aktiva,False
OPUS_GmbH,2694070,Aktiva,False
hp-polytechnik_GmbH_and_Co._KG,1225763,Aktiva,False
MECO_Maschinen-Elektro-Companie_GmbH,5709883,Aktiva,True
POLY-TOOLS_bennewart_GmbH,2656242,Aktiva,False
Gindele_GmbH,6093054,Aktiva,False
HERU_Werkzeugbau_GmbH_and_Co._KG,1514543,Aktiva,False
MEBA-Metall-_Bandsaegemaschinen_GmbH,3378474,Aktiva,False
BK_Stanz-_und_Umformtechnik_GmbH,4482567,Aktiva,False
Franz_Banke_GmbH,2883080,Aktiva,False
Metallguss_Seifert_GmbH,384308,Aktiva,False
Formenbau_Wollscheid_GmbH,987370,Aktiva,False
BRAUN_CarTec_GmbH,8256,Aktiva,False
Braunform_GmbH,13836992,Aktiva,False
Riemke_Tools_GmbH,845638,Aktiva,False
EWS_Weigele_GmbH_and_Co._KG,3278795,Aktiva,False
Johann_Breier_GmbH,611093,Aktiva,False
TriWeFo_Tridelta,5465462,AKTIVA,False
Herkules_Hebetechnik_GmbH,263117,Aktiva,False
Fred_Sieder_and_Co._GmbH,3106,Aktiva,False
Grunewald_GmbH_and_Co._KG,21,Aktiva,False
Alfred_Haerer_GmbH,1238004,Aktiva,False
Wirth_Werkzeugbau_GmbH,6253744,Aktiva,False
WVB_Werkzeug-_und_Vorrichtungsbau,809019,Aktiva,False
WIKUS-Saegenfabrik,301925,Aktiva,False
INGERSOLL_Werkzeuge_GmbH,32339000,Aktiva,True
Mieruch_and_Hofmann_GmbH_Werkzeugbau,580213,Aktiva,False
WTE_Praezisionstechnik_GmbH,3739852,Aktiva,False
Vogel_and_Heppner_GmbH,2297478,Aktiva,False
Metall-_und_Kunststofftechnik,711978,Aktiva,False
ERWIN_WEIDELE_GMBH,160693,Aktiva,False
Modellbau_Schoenheide_GmbH,4761879,Aktiva,True
FERRATEC_Werkzeug-,3724423,Aktiva,False
Piekenbrink_Composite_GmbH,0,N/A,False
Kurt_Betz_GmbH,291373,Aktiva,False
FRIMA_GmbH_and_Co._KG,234791,Aktiva,False
H._Horst_Haehl,2016462,Aktiva,False
Pakulla_GmbH,1033737,Aktiva,False
NOVOPRESS_GmbH,498607,Aktiva,False
Fischer_System-Mechanik_GmbH,1477314,Aktiva,False
Jakob_Lach_GmbH_and_Co._KG,3849175,Aktiva,False
HILMA-ROeMHELD_GmbH,795149,Aktiva,False
Dienes_Werke_fuer_Maschinenteile,1737771,Aktiva,False
