company_name,sachanlagen,table_name,is_teuro
FRAISA_GmbH_Praezisionswerkzeuge,5211845,Aktiva,False
Zico_Zimmermann_GmbH_and_Co._KG,1123610,Aktiva,False
SOLO_Kleinmotoren_GmbH,8518999,Aktiva,False
Bolzenschweisstechnik_Heinz_Soyer_GmbH,2189972,Aktiva,False
FLEX-Elektrowerkzeuge_GmbH,4305245,Aktiva,False
Caisley_International_GmbH,8654123,Aktiva,False
LINCOLN_ELECTRIC_DEUTSCHLAND_GmbH,13968254,Aktiva,False
Starcke_GmbH_and_Co._KG,14192000,Aktiva,True
Wirth_GmbH,1818583,Aktiva,True
Lutz_GmbH_and_Co._KG,3347097,Aktiva,False
United_Salon_Technologies_GmbH,6496995,Aktiva,False
Otto_Dieterle_Spezialwerkzeuge_GmbH,182158,Aktiva,False
RVT_Ruehr-_und_Verfahrenstechnik,52914,Aktiva,False
Garant_Productions_GmbH,685740,Aktiva,False
Hebezone_GmbH,744148,Aktiva,False
Weitkowitz_GmbH,11491979,Aktiva,False
M_E_S_T_O_Spritzenfabrik,1403678,Aktiva,False
Cimco_Werkzeugfabrik,483392,Aktiva,False
ASE_corghi_spa,2284349,Aktiva,False
Stanley_Black_and_Decker_Deutschland_GmbH,2020366,Aktiva,False
Ott_and_Heugel_GmbH,57481,Aktiva,False
SWM_Werkzeugfabrik_GmbH_and_Co._KG,2928499,Aktiva,False
Albrecht_Praezision_GmbH_and_Co._KG,709620,Aktiva,False
FREUND_VICTORIA_Gartengeraete_GmbH,10700840,Aktiva,False
DreBo_Werkzeugfabrik_GmbH,3799194,Aktiva,True
STANNOL_GmbH_and_Co._KG,822269,Aktiva,False
Zollmann_GmbH,62120,Aktiva,False
Anton_Kessel_GmbH,1276218,Aktiva,False
Schobertechnologies_GmbH,2788658,Aktiva,False
Prewi_Schneidwerkzeuge_GmbH,89423,Aktiva,False
S+B_TECHNOLOGIE_Schaetzle_GmbH,307294,Aktiva,False
MMC_Hartmetall_GmbH,1772834,Aktiva,False
NEHER_DIA_GmbH_and_Co._KG,5004715,Aktiva,False
Wintersteiger_Saegen_GmbH,5178680,Aktiva,True
Friedrich_Kuepper,75827,Aktiva,False
Eugen_Laegler_GmbH,1087493,Aktiva,False
SW-Stahl_GmbH,499953,Aktiva,False
Kelch_GmbH,945433,Aktiva,False
Winkler_Praezisionswerkzeuge_GmbH,3308207,Aktiva,False
Sueddeutsche_Buersten-_und_Kunststoffabrik,1251640,Aktiva,False
ARTIFEX_Dr._Lohmann_GmbH_and_Co._KG,954287,Aktiva,False
ESA_Eppinger_GmbH,2094000,Aktiva,True
August_Blecher_KG,508926,Aktiva,False
"J._Koenig_GmbH_and_Co._Werkzeugfabrik,",7419722,Aktiva,False
Schneider_Druckluft_GmbH,1271575,Aktiva,True
WURO_Wilhelm_Uebach_GmbH_and_Co._KG,836377,Aktiva,False
Makita_Engineering_Germany_GmbH,63152265,Aktiva,False
OTEC_Praezisionsfinish_GmbH,3282413,Aktiva,False
WEHA_Ludwig_Werwein_GmbH,220371,Aktiva,False
Feinhuette_Halsbruecke_GmbH,4991146,Aktiva,False
botek_Praezisionsbohrtechnik_GmbH,18171360,Aktiva,False
Max_Hilscher_GmbH,4049788,Aktiva,False
HBS_Bolzenschweiss-Systeme_GmbH_and_Co._KG,2522875,Aktiva,False
Hazet-Werk,8699446,AKTIVA,False
OSG_Germany_Holding_GmbH,15093651,Aktiva,False
Altrad_Lescha_Atika_GmbH,1005068,Aktiva,False
Sebald_and_Co._GmbH,3,Aktiva,False
Wilhelm_Blessing_GmbH_and_Co._KG,2894502,Aktiva,False
TIP_TOP_Automotive_GmbH,923794,Aktiva,True
Standex_International_GmbH,1525913,Aktiva,True
Lessmann_GmbH,1609408,Aktiva,False
Trentmann_GmbH_and_Co._KG,1886529,Aktiva,False
Nespoli_Deutschland_GmbH,37048,Aktiva,False
Dr._Kaiser_Diamantwerkzeuge,12470169,Aktiva,False
Dynajet_GmbH,2069231,Aktiva,False
Heusch_GmbH_and_Co._KG,311767,Aktiva,False
CFH_Loet-_und_Gasgeraete_GmbH,780972,Aktiva,False
Stanley_Black_and_Decker_Outdoor_GmbH,6968751,Aktiva,False
Kremer_Sondermann_GmbH_and_Cie._KG,147239,Aktiva,False
Hufschmied_Zerspanungssysteme_GmbH,3178684,Aktiva,False
BDS_Maschinen_GmbH,1160651,Aktiva,False
WFT_Werkzeug-_und_Fraestechnik_GmbH,3664136,Aktiva,False
DALEX_GmbH_and_Co._KG,814674,Aktiva,False
WEZAG_GmbH_Werkzeugfabrik,3121491,Aktiva,False
KATIMEX_Cielker_GmbH,1254996,Aktiva,False
ZOM_Oberflaechenbearbeitung_GmbH,3702690,Aktiva,False
Jaecklin_GmbH,1739519,Aktiva,False
KULLEN-KOTI_GmbH,3023534,Aktiva,False
Goelz_GmbH,188437,Aktiva,False
Tiemann_Schleif-_and_Werkzeugtechnik,105953,Aktiva,False
Gerd_Eisenblaetter_GmbH,2659188,Aktiva,False
Wilh._Becker_GmbH_and_Co._KG,3179549,Aktiva,False
Friess-Techno-Profi_GmbH,749924,Aktiva,False
BEHRINGER_EISELE_GmbH,224285,Aktiva,False
wolfcraft_GmbH,9125907,Aktiva,False
HPTec_GmbH,2089492,Aktiva,True
Beissbarth_GmbH,1228652,Aktiva,False
Bayerische_Mass-Industrie,1438293,Aktiva,True
Diatool_Praezisionswerkzeug_GmbH,772980,Aktiva,False
Koll_and_Cie._GmbH_and_Co_KG,2284447,Aktiva,False
Fichtner_and_Schicht_GmbH,559949,Aktiva,False
MATADOR_GmbH_and_Co._KG,437435,Aktiva,False
ELORA_Werkzeugfabrik_GmbH,898784,Aktiva,False
WILOFA_DIAMANT_Willi_Lohmann_GmbH_and_Co._KG,283949,Aktiva,False
Spezialwerkzeuge_GmbH_Zella-Mehlis,5242099,Aktiva,False
Gleason_Cutting_Tools_GmbH,1786000,Aktiva,True
DSL_Schweisstechnik_GmbH,199727,Aktiva,False
HaFu_Werkzeugfabrik_H._J._Fuhrmann_GmbH,45583,Aktiva,False
Karnasch_Professional_Tools_GmbH,322547,Aktiva,False
ZEROCLAMP_GmbH,2267829,Aktiva,False
Kronen-Hansa-Werk_GmbH_and_Co._KG,2414136,Aktiva,False
MAFELL_AG,8008017,Aktiva,False
Sigma_Laborzentrifugen_GmbH,2488539,Aktiva,False
Baudat_GmbH_and_Co._KG,1463866,Aktiva,False
Albert_Kerbl_GmbH,0,N/A,False
Gebr._Lennartz_GmbH_and_Co._KG,3022743,Aktiva,False
GETECHA_GmbH,524264,Aktiva,False
Karl_Schuessler_GmbH_and_Co._KG,1777326,Aktiva,False
Lavans_Deutschland_GmbH,163054,Aktiva,False
Paul_Maschinenfabrik_GmbH_and_Co.,3136219,Aktiva,False
FELO-Werkzeugfabrik_GmbH,4567370,Aktiva,False
Schnaidt_GmbH,1542807,Aktiva,False
Steinbach_and_Vollmann_GmbH,1842028,Aktiva,False
Friedrich_Duss,1451638,Aktiva,False
Gericke_GmbH,33486,Aktiva,False
JOeST_GmbH,76958,Aktiva,False
H._Schoenenberger_GmbH.,1446819,Aktiva,False
WPS_Werkzeug_Praezisions_Schleiferei_GmbH,671232,Aktiva,False
Huerner_Schweisstechnik_GmbH,423885,Aktiva,False
SMM_Schmalkaldener_Maschinenmesser_GmbH,3251628,Aktiva,False
Wilh._Putsch_GmbH_and_Co._KG,1038212,Aktiva,False
Heinz_Schirmacher_GmbH,186656,Aktiva,False
ThermoTex_Nagel_GmbH,1446657,Aktiva,False
MICON_Mining_and_Construction_Products,662232,Aktiva,False
DeLaval_GmbH,137335,Aktiva,False
SFS_intec_GmbH,7364289,Aktiva,False
Weisskopf_Werkzeuge_GmbH,4492253,Aktiva,False
Schmid_and_Wezel_Holding_GmbH_and_Co._KG,0,N/A,False
Alfred_Jaeger_GmbH,3893115,Aktiva,False
VON_ZITZEWITZ_GRUPPE_GmbH_and_Co._KG,1369138,Aktiva,False
Frank_Sieber_GmbH_tools_and_design,1872209,Aktiva,False
Wilh._Schmitt_and_Comp.GmbH_and_Co._KG,1047740,Aktiva,False
FELDER_GMBH,187,Aktiva,False
Schleifscheibenfabrik,2366891,Aktiva,False
Maschinenfabrik_Otto_Baier_GmbH,1051281,Aktiva,False
"Wilhelm_Koenig,_Maschinenbau_GmbH",3259342,Aktiva,False
H._Hauptner_und_Richard_Herberholz,481807,Aktiva,False
Max_Klein_GmbH_and_Co._KG,1923098,Aktiva,False
Franz_Josef_Bauer_GmbH_Messwerkzeuge.,1745000,Aktiva,True
Ruwac_Industriesauger_GmbH,1760929,Aktiva,True
Mesko-Pinsel_GmbH,14864868,Aktiva,True
MOLDINO_Tool_Engineering_Europe_GmbH,498036,Aktiva,False
Robert_Roentgen_GmbH_and_Co._KG,15234466,Aktiva,False
HAKOS_Praezisionswerkzeuge,302231,Aktiva,False
Bruno_Unger_GmbH_and_Co_KG,2457948,Aktiva,False
Union_Special_GmbH,178616,Aktiva,False
Guenter_Wendt_GmbH,345057,Aktiva,False
Keil_Profi-Werkzeuge_GmbH,734463,Aktiva,False
Heinrich_Kreeb_GmbH_and_Co._KG,457379,Aktiva,False
Schnurr_GmbH,915812,Aktiva,False
SNA_Germany_GmbH,67046,Aktiva,False
AWI_Eberlein_GmbH,719018,Aktiva,False
Extricom_Extrusion_GmbH,921515,Aktiva,False
MD_Drucklufttechnik_GmbH_andCo._KG,679114,Aktiva,False
Britsch-Spannzeuge_GmbH,481185,Aktiva,False
ekatec_GmbH,727256,Aktiva,False
Wilhelm_Bilstein_GmbH_and_Co._KG,1688580,Aktiva,False
TBi_Industries_GmbH,1900612,Aktiva,False
Paul_Duemmel_Werkzeugfabrik_GmbH,3918134,Aktiva,False
C.O._Weise_GmbH_and_Co._KG,5677000,Aktiva,True
Zecha_Hartmetallwerkzeugfabrikation_GmbH,1764065,Aktiva,False
Wistoba_Pinselfabrik,557428,Aktiva,False
Kemmer_Hartmetallwerkzeuge_GmbH,2036850,Aktiva,False
hoechstmass_Balzer_GmbH,194537,Aktiva,False
STIELOW_GMBH.,399273,Aktiva,False
Probst_GmbH,1360411,Aktiva,False
Techtronic_Industries_GmbH,1223500,Aktiva,False
WEFA_Singen_GmbH,7945805,Aktiva,False
Philipp_Hafner_GmbH_and_Co._KG,2445000,Aktiva,True
DRONCO_GmbH,16534,Aktiva,False
GYS_GmbH,1566335,Aktiva,False
